trade_seq,trade_id,timestamp,tick_direction,price,mark_price,iv,instrument_name,index_price,direction,contracts,amount,combo_id,block_trade_id
1,335161621,2024-12-19 17:48:13,1,0.051,0.05106889,54.12,BTC-10JAN25-100000-C,98822.0,buy,1.0,1.0,,
2,335215805,2024-12-19 18:42:16,2,0.05,0.04970152,55.36,BTC-10JAN25-100000-C,98251.19,sell,0.2,0.2,,
3,335217851,2024-12-19 18:49:07,0,0.0505,0.05023931,55.88,BTC-10JAN25-100000-C,98372.01,sell,0.2,0.2,,
4,335221038,2024-12-19 19:00:36,0,0.052,0.05198461,55.58,BTC-10JAN25-100000-C,98761.84,sell,0.3,0.3,,
5,335248392,2024-12-19 20:07:48,2,0.0425,0.04186927,56.46,BTC-10JAN25-100000-C,96438.38,buy,0.2,0.2,,
6,335325658,2024-12-19 22:23:05,0,0.0465,0.0463961,55.32,BTC-10JAN25-100000-C,97680.08,sell,0.3,0.3,,
7,335325659,2024-12-19 22:23:05,1,0.0465,0.0463961,55.32,BTC-10JAN25-100000-C,97680.08,sell,0.1,0.1,,
8,335478363,2024-12-20 07:37:40,0,0.0475,0.0477024,55.83,BTC-10JAN25-100000-C,97964.44,buy,0.5,0.5,,
9,335485051,2024-12-20 07:58:51,2,0.046,0.04589785,55.78,BTC-10JAN25-100000-C,97654.67,buy,0.1,0.1,,
10,335498615,2024-12-20 08:40:32,2,0.0395,0.03900686,56.08,BTC-10JAN25-100000-C,96043.0,buy,1.0,1.0,,
11,335536351,2024-12-20 09:20:43,2,0.0375,0.03810047,56.43,BTC-10JAN25-100000-C,95491.62,sell,0.7,0.7,,
12,335536352,2024-12-20 09:20:43,3,0.0375,0.03810047,56.43,BTC-10JAN25-100000-C,95491.62,sell,1.1,1.1,,
13,335536356,2024-12-20 09:20:44,3,0.0375,0.03810701,56.43,BTC-10JAN25-100000-C,95491.29,sell,0.2,0.2,,
14,335541170,2024-12-20 09:29:19,2,0.036,0.03647048,56.53,BTC-10JAN25-100000-C,95069.0,sell,0.1,0.1,,
15,335541172,2024-12-20 09:29:19,3,0.036,0.03646526,56.53,BTC-10JAN25-100000-C,95070.21,sell,0.1,0.1,,
16,335541889,2024-12-20 09:30:38,0,0.0365,0.03692231,56.52,BTC-10JAN25-100000-C,95174.01,sell,0.1,0.1,,
17,335552330,2024-12-20 09:46:51,0,0.037,0.03728408,57.58,BTC-10JAN25-100000-C,95119.92,sell,0.1,0.1,,
18,335574281,2024-12-20 10:20:41,2,0.0355,0.03607058,57.26,BTC-10JAN25-100000-C,94696.84,sell,0.1,0.1,,
19,335613759,2024-12-20 11:36:56,2,0.0305,0.0303168,59.56,BTC-10JAN25-100000-C,92928.09,buy,0.1,0.1,,
20,335614405,2024-12-20 11:37:23,0,0.031,0.03131105,59.19,BTC-10JAN25-100000-C,93213.05,sell,0.1,0.1,,
