trade_seq,trade_id,timestamp,tick_direction,price,mark_price,iv,instrument_name,index_price,direction,amount,combo_id,block_trade_id,combo_trade_id,liquidation
84,213513457,2022-05-11 13:34:22,2,0.165,0.1648323,69.78,BTC-30DEC22-35000-C,29528.92,sell,0.2,,,,
85,213523686,2022-05-11 13:45:04,0,0.175,0.1767983,69.12,BTC-30DEC22-35000-C,30549.72,buy,7.5,,,,
86,213552584,2022-05-11 14:09:02,0,0.182,0.18404698,68.26,BTC-30DEC22-35000-C,31388.93,sell,2.9,,,,
87,213552585,2022-05-11 14:09:02,1,0.182,0.18404698,68.26,BTC-30DEC22-35000-C,31388.93,sell,8.0,,,,
88,213663216,2022-05-11 19:29:09,2,0.174,0.17277366,72.14,BTC-30DEC22-35000-C,29659.41,sell,3.3,,,,
89,213733909,2022-05-11 21:48:53,2,0.1725,0.17202443,75.78,BTC-30DEC22-35000-C,28557.7,sell,0.1,,,,
90,213749928,2022-05-11 22:34:28,2,0.168,0.1689514,74.16,BTC-30DEC22-35000-C,28610.11,sell,0.9,,,,
91,213803007,2022-05-12 03:08:45,2,0.1635,0.16429586,72.62,BTC-30DEC22-35000-C,28584.05,sell,0.1,,,,
92,213803011,2022-05-12 03:08:45,3,0.1635,0.16427738,72.62,BTC-30DEC22-35000-C,28584.05,sell,0.1,,,,
93,213855851,2022-05-12 05:04:53,3,0.1635,0.16473037,77.17,BTC-30DEC22-35000-C,27411.88,sell,1.0,,,,
94,214014096,2022-05-12 08:12:38,0,0.1735,0.17406418,78.86,BTC-30DEC22-35000-C,27854.56,buy,2.0,,,,
95,214084251,2022-05-12 11:59:16,0,0.176,0.17392249,78.53,BTC-30DEC22-35000-C,28200.3,sell,1.3,,,,M
96,214084252,2022-05-12 11:59:16,1,0.176,0.17392249,78.53,BTC-30DEC22-35000-C,28200.3,sell,0.9,,,,M
97,214084253,2022-05-12 11:59:16,1,0.176,0.17392249,78.53,BTC-30DEC22-35000-C,28200.3,sell,0.7,,,,M
98,214084254,2022-05-12 11:59:16,1,0.176,0.17392249,78.53,BTC-30DEC22-35000-C,28200.3,sell,0.5,,,,M
99,214084255,2022-05-12 11:59:16,1,0.176,0.17395463,78.53,BTC-30DEC22-35000-C,28200.3,sell,0.4,,,,M
100,214084256,2022-05-12 11:59:16,1,0.176,0.17395463,78.53,BTC-30DEC22-35000-C,28200.3,sell,0.3,,,,M
101,214084257,2022-05-12 11:59:16,1,0.176,0.17395463,78.53,BTC-30DEC22-35000-C,28200.3,sell,0.2,,,,M
102,214084258,2022-05-12 11:59:16,1,0.176,0.17395463,78.53,BTC-30DEC22-35000-C,28200.3,sell,0.2,,,,M
103,214084259,2022-05-12 11:59:16,1,0.176,0.17395463,78.53,BTC-30DEC22-35000-C,28200.3,sell,0.1,,,,M
104,214084260,2022-05-12 11:59:16,1,0.176,0.17395463,78.53,BTC-30DEC22-35000-C,28200.3,sell,0.1,,,,M
105,214084261,2022-05-12 11:59:16,1,0.176,0.17395463,78.53,BTC-30DEC22-35000-C,28200.3,sell,0.1,,,,M
106,214084262,2022-05-12 11:59:16,1,0.176,0.17395463,78.53,BTC-30DEC22-35000-C,28200.3,sell,0.1,,,,M
107,214084263,2022-05-12 11:59:16,1,0.176,0.17395463,78.53,BTC-30DEC22-35000-C,28200.3,sell,0.3,,,,M
108,214084264,2022-05-12 11:59:16,1,0.176,0.17395463,78.53,BTC-30DEC22-35000-C,28200.3,sell,0.2,,,,M
109,214084265,2022-05-12 11:59:16,1,0.176,0.17395463,78.53,BTC-30DEC22-35000-C,28200.3,sell,0.1,,,,M
110,214084266,2022-05-12 11:59:16,1,0.176,0.17395463,78.53,BTC-30DEC22-35000-C,28200.3,sell,0.2,,,,M
111,214084267,2022-05-12 11:59:16,1,0.176,0.17395463,78.53,BTC-30DEC22-35000-C,28200.3,sell,0.3,,,,M
112,214084268,2022-05-12 11:59:16,1,0.176,0.17395463,78.53,BTC-30DEC22-35000-C,28200.3,sell,0.1,,,,M
113,214084269,2022-05-12 11:59:16,1,0.176,0.17395463,78.5,BTC-30DEC22-35000-C,28208.83,sell,0.1,,,,M
114,214084270,2022-05-12 11:59:18,1,0.176,0.17404684,78.51,BTC-30DEC22-35000-C,28206.14,sell,0.1,,,,M
115,214084271,2022-05-12 11:59:18,1,0.176,0.17404684,78.51,BTC-30DEC22-35000-C,28206.14,sell,0.1,,,,M
116,214084272,2022-05-12 11:59:18,1,0.176,0.17404684,78.51,BTC-30DEC22-35000-C,28206.14,sell,0.1,,,,M
117,214084273,2022-05-12 11:59:18,1,0.176,0.17404684,78.51,BTC-30DEC22-35000-C,28206.14,sell,3.5,,,,M
118,214165538,2022-05-12 16:32:49,0,0.182,0.18134125,74.83,BTC-30DEC22-35000-C,29760.63,buy,0.7,,,,
119,214213345,2022-05-12 22:22:50,2,0.165,0.16573899,74.22,BTC-30DEC22-35000-C,28406.12,buy,0.1,,,,
120,214213375,2022-05-12 22:23:09,3,0.165,0.16552475,74.29,BTC-30DEC22-35000-C,28383.02,buy,0.1,,,,
121,214213376,2022-05-12 22:23:09,3,0.165,0.16552475,74.29,BTC-30DEC22-35000-C,28383.02,buy,0.1,,,,
122,214213377,2022-05-12 22:23:09,3,0.165,0.16552475,74.29,BTC-30DEC22-35000-C,28383.02,buy,0.1,,,,
123,214213378,2022-05-12 22:23:11,3,0.165,0.16547299,74.29,BTC-30DEC22-35000-C,28381.82,buy,0.1,,,,
124,214213424,2022-05-12 22:23:35,3,0.165,0.16526217,74.37,BTC-30DEC22-35000-C,28360.41,buy,0.1,,,,
125,214213430,2022-05-12 22:23:35,3,0.165,0.16526217,74.33,BTC-30DEC22-35000-C,28369.73,buy,0.1,,,,
126,214213431,2022-05-12 22:23:35,3,0.165,0.16526217,74.33,BTC-30DEC22-35000-C,28369.73,buy,0.1,,,,
127,214213432,2022-05-12 22:23:35,3,0.165,0.16526217,74.33,BTC-30DEC22-35000-C,28369.73,buy,0.1,,,,
128,214213433,2022-05-12 22:23:35,3,0.165,0.16534931,74.33,BTC-30DEC22-35000-C,28369.73,buy,0.1,,,,
129,214222468,2022-05-12 23:36:27,0,0.1695,0.1715501,73.12,BTC-30DEC22-35000-C,29142.3,sell,0.4,,,,
130,214229084,2022-05-13 00:37:23,2,0.168,0.16819186,72.67,BTC-30DEC22-35000-C,29070.27,buy,2.1,,,,
131,214229092,2022-05-13 00:37:26,0,0.1685,0.1682028,72.81,BTC-30DEC22-35000-C,29071.73,buy,0.7,,,,
132,214280079,2022-05-13 05:35:04,0,0.1795,0.1805709,70.8,BTC-30DEC22-35000-C,30619.21,sell,0.1,,,,
133,214296998,2022-05-13 07:52:26,2,0.1745,0.17517393,70.7,BTC-30DEC22-35000-C,30206.59,buy,1.0,,,,
134,214297075,2022-05-13 07:52:58,3,0.1745,0.17512659,70.72,BTC-30DEC22-35000-C,30210.21,buy,0.1,,,,
135,214304676,2022-05-13 08:50:46,0,0.176,0.17499918,71.11,BTC-30DEC22-35000-C,30209.79,sell,0.9,,,,M
136,214355779,2022-05-13 16:30:43,2,0.166,0.16663723,68.3,BTC-30DEC22-35000-C,30134.15,sell,1.4,,,,
137,214355784,2022-05-13 16:30:43,3,0.166,0.16663723,68.3,BTC-30DEC22-35000-C,30134.15,sell,0.2,,,,
138,214355788,2022-05-13 16:30:43,3,0.166,0.16663723,68.3,BTC-30DEC22-35000-C,30134.15,sell,0.1,,,,
139,214356003,2022-05-13 16:30:45,3,0.166,0.16590436,68.45,BTC-30DEC22-35000-C,30094.22,sell,1.3,,,,
140,214356005,2022-05-13 16:30:45,3,0.166,0.16590436,68.45,BTC-30DEC22-35000-C,30094.22,sell,1.3,,,,
141,214367935,2022-05-13 17:45:04,3,0.166,0.16559708,69.1,BTC-30DEC22-35000-C,29892.99,sell,0.4,,,,
142,214367991,2022-05-13 17:45:12,3,0.166,0.16532739,69.19,BTC-30DEC22-35000-C,29874.76,sell,0.4,,,,
143,214368058,2022-05-13 17:45:36,3,0.166,0.16506638,69.27,BTC-30DEC22-35000-C,29855.78,sell,0.1,,,,
144,214402787,2022-05-13 23:16:26,0,0.169,0.16685561,71.96,BTC-30DEC22-35000-C,29427.92,buy,2.1,,,,
145,214402788,2022-05-13 23:16:27,1,0.169,0.16685561,71.94,BTC-30DEC22-35000-C,29433.65,sell,1.1,,,,
146,214402789,2022-05-13 23:16:27,1,0.169,0.16685561,71.94,BTC-30DEC22-35000-C,29433.65,sell,0.7,,,,
147,214402797,2022-05-13 23:16:33,1,0.169,0.16703603,71.91,BTC-30DEC22-35000-C,29439.82,sell,0.5,,,,
148,214402798,2022-05-13 23:16:33,1,0.169,0.16703603,71.91,BTC-30DEC22-35000-C,29439.82,sell,0.4,,,,
149,214402799,2022-05-13 23:16:33,1,0.169,0.16703603,71.91,BTC-30DEC22-35000-C,29439.82,sell,0.3,,,,
150,214402800,2022-05-13 23:16:33,1,0.169,0.16703603,71.91,BTC-30DEC22-35000-C,29439.82,sell,0.2,,,,
151,214402807,2022-05-13 23:16:33,1,0.169,0.16703603,71.91,BTC-30DEC22-35000-C,29439.82,sell,0.1,,,,
152,214402808,2022-05-13 23:16:34,1,0.169,0.1671437,71.88,BTC-30DEC22-35000-C,29446.91,sell,0.1,,,,
153,214402809,2022-05-13 23:16:34,1,0.169,0.1671437,71.88,BTC-30DEC22-35000-C,29446.91,sell,0.2,,,,
154,214402810,2022-05-13 23:16:34,1,0.169,0.1671437,71.88,BTC-30DEC22-35000-C,29446.91,sell,0.1,,,,
155,214402811,2022-05-13 23:16:34,1,0.169,0.1671437,71.88,BTC-30DEC22-35000-C,29446.91,sell,0.1,,,,
156,214402812,2022-05-13 23:16:34,1,0.169,0.1671437,71.88,BTC-30DEC22-35000-C,29446.91,sell,0.1,,,,
157,214515678,2022-05-15 07:47:47,2,0.1635,0.16552762,68.91,BTC-30DEC22-35000-C,29768.17,sell,0.1,,,,
158,214515682,2022-05-15 07:47:49,3,0.1635,0.16549962,68.91,BTC-30DEC22-35000-C,29766.79,sell,0.1,,,,
159,214515694,2022-05-15 07:47:51,3,0.1635,0.16547495,68.94,BTC-30DEC22-35000-C,29758.95,sell,0.1,,,,
160,214549802,2022-05-15 19:58:51,0,0.174,0.1727962,70.07,BTC-30DEC22-35000-C,30418.78,buy,0.1,,,,
161,214819225,2022-05-18 09:59:06,2,0.16,0.16126848,68.05,BTC-30DEC22-35000-C,29870.15,buy,0.1,,,,
162,214864516,2022-05-18 16:31:01,2,0.1575,0.15826622,70.97,BTC-30DEC22-35000-C,28895.18,buy,0.2,,,,
163,214897844,2022-05-18 21:30:24,0,0.164,0.16313135,71.8,BTC-30DEC22-35000-C,29256.47,sell,1.5,,,,
164,214899916,2022-05-18 21:59:53,2,0.162,0.16143248,71.67,BTC-30DEC22-35000-C,29153.47,buy,0.1,,,,
165,214967067,2022-05-19 07:54:55,2,0.1605,0.16084216,71.21,BTC-30DEC22-35000-C,29116.62,buy,2.3,,,,
166,214967333,2022-05-19 07:58:20,0,0.161,0.16072701,71.31,BTC-30DEC22-35000-C,29160.89,buy,1.4,,,,
167,214967334,2022-05-19 07:58:20,1,0.161,0.16072701,71.31,BTC-30DEC22-35000-C,29160.89,buy,1.5,,,,
168,214992460,2022-05-19 12:09:36,2,0.16,0.15985396,70.06,BTC-30DEC22-35000-C,29412.65,sell,0.1,,,,
169,214992461,2022-05-19 12:09:36,3,0.16,0.15988536,70.06,BTC-30DEC22-35000-C,29414.29,sell,0.1,,,,
170,214992462,2022-05-19 12:09:37,3,0.16,0.15990244,70.06,BTC-30DEC22-35000-C,29414.29,sell,0.1,,,,
171,214992476,2022-05-19 12:09:52,3,0.16,0.15987618,70.09,BTC-30DEC22-35000-C,29407.94,sell,0.1,,,,
172,214992477,2022-05-19 12:09:52,3,0.16,0.15987618,70.09,BTC-30DEC22-35000-C,29407.94,sell,0.1,,,,
173,214992478,2022-05-19 12:09:52,3,0.16,0.15980747,70.09,BTC-30DEC22-35000-C,29407.94,sell,0.1,,,,
174,214992479,2022-05-19 12:09:52,3,0.16,0.15980747,70.09,BTC-30DEC22-35000-C,29407.94,sell,0.1,,,,
175,214992482,2022-05-19 12:09:52,3,0.16,0.15980747,70.09,BTC-30DEC22-35000-C,29407.94,sell,0.1,,,,
176,214992504,2022-05-19 12:10:00,3,0.16,0.15978583,70.1,BTC-30DEC22-35000-C,29400.93,sell,0.1,,,,
177,214992506,2022-05-19 12:10:00,3,0.16,0.15978583,70.1,BTC-30DEC22-35000-C,29400.93,sell,0.1,,,,
178,215016795,2022-05-19 14:51:44,0,0.166,0.16466638,70.8,BTC-30DEC22-35000-C,29706.52,buy,1.0,,,,
179,215018446,2022-05-19 15:03:30,0,0.1675,0.16651518,70.86,BTC-30DEC22-35000-C,29802.77,buy,0.1,,,,
180,215018449,2022-05-19 15:03:30,1,0.1675,0.16651518,70.86,BTC-30DEC22-35000-C,29802.77,buy,0.1,,,,
181,215018450,2022-05-19 15:03:30,1,0.1675,0.16651518,70.86,BTC-30DEC22-35000-C,29802.77,buy,0.2,,,,
182,215018451,2022-05-19 15:03:30,1,0.1675,0.16651518,70.86,BTC-30DEC22-35000-C,29802.77,buy,0.1,,,,
183,215018452,2022-05-19 15:03:30,1,0.1675,0.16651518,70.86,BTC-30DEC22-35000-C,29802.77,buy,0.1,,,,
184,215018453,2022-05-19 15:03:30,1,0.1675,0.16651518,70.86,BTC-30DEC22-35000-C,29802.77,buy,0.1,,,,
185,215020295,2022-05-19 15:17:18,0,0.1695,0.16865,71.04,BTC-30DEC22-35000-C,29906.85,buy,0.1,,,,
186,215020296,2022-05-19 15:17:18,1,0.1695,0.16865,71.04,BTC-30DEC22-35000-C,29906.85,buy,0.1,,,,
187,215020303,2022-05-19 15:17:19,1,0.1695,0.16865898,71.04,BTC-30DEC22-35000-C,29907.81,buy,0.1,,,,
188,215020306,2022-05-19 15:17:19,1,0.1695,0.16865898,71.04,BTC-30DEC22-35000-C,29907.81,buy,0.1,,,,
189,215115194,2022-05-20 08:01:51,0,0.17,0.17063704,70.06,BTC-30DEC22-35000-C,30239.79,buy,1.2,,,,
190,215141919,2022-05-20 13:25:01,0,0.174,0.17371354,71.15,BTC-30DEC22-35000-C,30348.15,buy,0.2,,,,
191,215221497,2022-05-21 02:28:41,2,0.158,0.15872619,70.53,BTC-30DEC22-35000-C,29172.1,buy,0.9,,,,
192,215221498,2022-05-21 02:28:41,0,0.1585,0.15872619,70.69,BTC-30DEC22-35000-C,29172.1,buy,2.3,,,,
193,215222179,2022-05-21 02:53:03,0,0.16,0.16010607,70.97,BTC-30DEC22-35000-C,29187.91,sell,0.1,,,,
194,215222180,2022-05-21 02:53:03,1,0.16,0.16010607,70.97,BTC-30DEC22-35000-C,29187.91,sell,0.1,,,,
195,215222181,2022-05-21 02:53:05,1,0.16,0.16005207,70.98,BTC-30DEC22-35000-C,29182.61,sell,0.1,,,,
196,215222182,2022-05-21 02:53:05,1,0.16,0.16005207,70.98,BTC-30DEC22-35000-C,29182.61,sell,0.1,,,,
197,215234526,2022-05-21 09:28:28,2,0.159,0.16090719,70.4,BTC-30DEC22-35000-C,29247.33,sell,0.1,,,,
198,215234536,2022-05-21 09:28:28,3,0.159,0.16090719,70.4,BTC-30DEC22-35000-C,29247.33,sell,0.1,,,,
199,215234540,2022-05-21 09:28:28,3,0.159,0.16089829,70.4,BTC-30DEC22-35000-C,29247.33,sell,0.1,,,,
200,215236598,2022-05-21 10:03:49,0,0.1595,0.16076854,70.21,BTC-30DEC22-35000-C,29361.48,sell,0.1,,,,
201,215236599,2022-05-21 10:03:49,1,0.1595,0.16076854,70.21,BTC-30DEC22-35000-C,29361.48,sell,0.1,,,,
202,215250700,2022-05-21 13:53:11,0,0.16,0.16061289,70.78,BTC-30DEC22-35000-C,29323.91,sell,0.1,,,,
203,215250701,2022-05-21 13:53:11,1,0.16,0.16061289,70.78,BTC-30DEC22-35000-C,29323.91,sell,0.1,,,,
204,215250702,2022-05-21 13:53:13,1,0.16,0.16055903,70.8,BTC-30DEC22-35000-C,29318.21,sell,0.1,,,,
205,215250703,2022-05-21 13:53:13,1,0.16,0.16055903,70.8,BTC-30DEC22-35000-C,29318.21,sell,0.1,,,,
206,215250704,2022-05-21 13:53:13,1,0.16,0.16055903,70.8,BTC-30DEC22-35000-C,29318.21,sell,0.1,,,,
207,215250711,2022-05-21 13:53:16,1,0.16,0.16055004,70.79,BTC-30DEC22-35000-C,29316.73,sell,0.1,,,,
208,215250712,2022-05-21 13:53:16,1,0.16,0.16055004,70.79,BTC-30DEC22-35000-C,29316.73,sell,0.1,,,,
