trade_seq,trade_id,timestamp,tick_direction,price,mark_price,iv,instrument_name,index_price,direction,amount,combo_id,block_trade_id,combo_trade_id,liquidation
1,211853750,2022-05-04 01:13:08,1,0.2485,0.24869551,64.0,BTC-30DEC22-35000-C,37914.83,sell,0.1,,,,
2,211853754,2022-05-04 01:13:11,1,0.2485,0.24869911,64.0,BTC-30DEC22-35000-C,37914.85,sell,0.1,,,,
3,211853755,2022-05-04 01:13:11,1,0.2485,0.24869911,64.0,BTC-30DEC22-35000-C,37914.85,sell,0.1,,,,
4,211853756,2022-05-04 01:13:11,1,0.2485,0.24869911,64.0,BTC-30DEC22-35000-C,37914.85,sell,0.1,,,,
5,211853757,2022-05-04 01:13:11,1,0.2485,0.24869911,64.0,BTC-30DEC22-35000-C,37914.85,sell,0.1,,,,
6,211853762,2022-05-04 01:13:27,1,0.2485,0.24871163,64.0,BTC-30DEC22-35000-C,37913.59,sell,0.1,,,,
7,211853763,2022-05-04 01:13:28,1,0.2485,0.24871753,63.99,BTC-30DEC22-35000-C,37914.01,sell,0.1,,,,
8,211853764,2022-05-04 01:13:28,1,0.2485,0.24871753,63.99,BTC-30DEC22-35000-C,37914.01,sell,0.2,,,,
9,211853766,2022-05-04 01:13:28,1,0.2485,0.24871753,63.99,BTC-30DEC22-35000-C,37914.01,sell,0.1,,,,
10,211853767,2022-05-04 01:13:28,1,0.2485,0.24871753,63.99,BTC-30DEC22-35000-C,37914.01,sell,0.1,,,,
11,211857697,2022-05-04 03:48:26,0,0.25,0.24939291,64.03,BTC-30DEC22-35000-C,38051.32,sell,1.0,,,,
12,212109502,2022-05-05 18:05:31,2,0.232,0.23275299,63.41,BTC-30DEC22-35000-C,36713.56,sell,0.1,,,,
13,212109503,2022-05-05 18:05:31,3,0.232,0.23275299,63.41,BTC-30DEC22-35000-C,36713.56,sell,0.1,,,,
14,212109504,2022-05-05 18:05:31,3,0.232,0.23275299,63.41,BTC-30DEC22-35000-C,36713.56,sell,0.1,,,,
15,212113541,2022-05-05 18:23:27,2,0.231,0.23203173,63.32,BTC-30DEC22-35000-C,36649.85,sell,0.2,,,,
16,212113542,2022-05-05 18:23:27,3,0.231,0.23203173,63.32,BTC-30DEC22-35000-C,36649.85,sell,0.2,,,,
17,212135104,2022-05-05 18:55:04,2,0.2275,0.22846376,63.28,BTC-30DEC22-35000-C,36375.91,sell,0.2,,,,
18,212135105,2022-05-05 18:55:04,3,0.2275,0.22846376,63.28,BTC-30DEC22-35000-C,36375.91,sell,0.1,,,,
19,212137688,2022-05-05 19:07:03,2,0.225,0.22590044,63.36,BTC-30DEC22-35000-C,36129.14,sell,0.1,,,,
20,212138352,2022-05-05 19:07:20,2,0.223,0.22465142,63.22,BTC-30DEC22-35000-C,35992.13,sell,0.1,,,,
21,212138364,2022-05-05 19:07:20,3,0.223,0.22465142,63.22,BTC-30DEC22-35000-C,35992.13,sell,0.4,,,,
22,212244284,2022-05-06 10:02:12,0,0.225,0.22559142,62.59,BTC-30DEC22-35000-C,36353.49,buy,0.1,,,,
23,212244285,2022-05-06 10:02:12,1,0.225,0.22559142,62.59,BTC-30DEC22-35000-C,36353.8,buy,0.1,,,,
24,212244398,2022-05-06 10:02:42,2,0.2245,0.22552983,62.43,BTC-30DEC22-35000-C,36335.76,buy,4.1,,,,
25,212244399,2022-05-06 10:02:42,3,0.2245,0.22552983,62.43,BTC-30DEC22-35000-C,36335.76,buy,0.4,,,,
26,212244400,2022-05-06 10:02:43,3,0.2245,0.2255323,62.43,BTC-30DEC22-35000-C,36335.67,buy,0.3,,,,
27,212244589,2022-05-06 10:04:42,3,0.2245,0.22552985,62.41,BTC-30DEC22-35000-C,36327.83,buy,0.6,,,,
28,212244590,2022-05-06 10:04:43,3,0.2245,0.22553044,62.41,BTC-30DEC22-35000-C,36327.78,buy,0.4,,,,
29,212244591,2022-05-06 10:04:43,3,0.2245,0.22553044,62.41,BTC-30DEC22-35000-C,36327.78,buy,0.3,,,,
30,212244592,2022-05-06 10:04:43,3,0.2245,0.22553044,62.41,BTC-30DEC22-35000-C,36327.78,buy,0.1,,,,
31,212244609,2022-05-06 10:04:49,3,0.2245,0.2255263,62.41,BTC-30DEC22-35000-C,36326.85,buy,0.3,,,,
32,212244613,2022-05-06 10:04:49,3,0.2245,0.2255263,62.41,BTC-30DEC22-35000-C,36326.85,buy,0.2,,,,
33,212244614,2022-05-06 10:04:49,3,0.2245,0.2255263,62.41,BTC-30DEC22-35000-C,36326.85,buy,0.2,,,,
34,212244619,2022-05-06 10:04:50,3,0.2245,0.22552704,62.41,BTC-30DEC22-35000-C,36326.84,buy,0.1,,,,
35,212244620,2022-05-06 10:04:50,3,0.2245,0.22552704,62.41,BTC-30DEC22-35000-C,36326.84,buy,0.1,,,,
36,212244623,2022-05-06 10:04:51,3,0.2245,0.22552829,62.41,BTC-30DEC22-35000-C,36326.88,buy,0.1,,,,
37,212244627,2022-05-06 10:04:54,3,0.2245,0.22553174,62.41,BTC-30DEC22-35000-C,36326.88,buy,0.1,,,,
38,212244641,2022-05-06 10:05:07,3,0.2245,0.22553085,62.4,BTC-30DEC22-35000-C,36327.39,buy,0.1,,,,
39,212244642,2022-05-06 10:05:07,3,0.2245,0.22553085,62.4,BTC-30DEC22-35000-C,36327.39,buy,0.1,,,,
40,212244644,2022-05-06 10:05:08,3,0.2245,0.22555024,62.39,BTC-30DEC22-35000-C,36329.19,buy,0.1,,,,
41,212244670,2022-05-06 10:05:43,2,0.224,0.22545799,62.24,BTC-30DEC22-35000-C,36320.38,buy,2.2,,,,
42,212365699,2022-05-06 19:56:36,2,0.221,0.22135945,62.68,BTC-30DEC22-35000-C,36020.76,sell,1.0,,,,
43,212443989,2022-05-07 22:17:43,2,0.21,0.21162942,62.27,BTC-30DEC22-35000-C,35213.01,buy,0.1,,,,
44,212443990,2022-05-07 22:17:45,3,0.21,0.21163331,62.27,BTC-30DEC22-35000-C,35212.58,buy,0.1,,,,
45,212443991,2022-05-07 22:17:46,3,0.21,0.21163036,62.27,BTC-30DEC22-35000-C,35212.42,buy,0.1,,,,
46,212443992,2022-05-07 22:17:48,3,0.21,0.21162993,62.27,BTC-30DEC22-35000-C,35212.2,buy,0.1,,,,
47,212443993,2022-05-07 22:17:49,3,0.21,0.21163415,62.27,BTC-30DEC22-35000-C,35212.5,buy,0.1,,,,
48,212443994,2022-05-07 22:17:50,3,0.21,0.21163699,62.27,BTC-30DEC22-35000-C,35211.9,buy,0.1,,,,
49,212444022,2022-05-07 22:17:52,3,0.21,0.21162984,62.31,BTC-30DEC22-35000-C,35202.95,buy,0.1,,,,
50,212444025,2022-05-07 22:17:54,3,0.21,0.21141623,62.34,BTC-30DEC22-35000-C,35195.74,buy,0.1,,,,
51,212444026,2022-05-07 22:17:56,3,0.21,0.21142661,62.33,BTC-30DEC22-35000-C,35197.78,buy,0.1,,,,
52,212447628,2022-05-07 22:51:39,2,0.208,0.20906755,62.73,BTC-30DEC22-35000-C,34956.82,sell,0.1,,,,
53,212447721,2022-05-07 22:51:40,3,0.208,0.20906755,62.73,BTC-30DEC22-35000-C,34956.82,sell,0.1,,,,
54,212547118,2022-05-08 09:45:01,2,0.2,0.19995824,61.54,BTC-30DEC22-35000-C,34597.79,buy,0.6,,,,
55,212547119,2022-05-08 09:45:01,3,0.2,0.19995824,61.54,BTC-30DEC22-35000-C,34597.79,buy,2.0,,,,
56,212547120,2022-05-08 09:45:01,3,0.2,0.19995824,61.54,BTC-30DEC22-35000-C,34597.79,buy,0.5,,,,
57,212547121,2022-05-08 09:45:01,3,0.2,0.19995824,61.54,BTC-30DEC22-35000-C,34597.79,buy,0.1,,,,
58,212547122,2022-05-08 09:45:01,3,0.2,0.19995824,61.54,BTC-30DEC22-35000-C,34597.79,buy,0.5,,,,
59,212547123,2022-05-08 09:45:01,3,0.2,0.19995824,61.54,BTC-30DEC22-35000-C,34597.79,buy,0.3,,,,
60,212547124,2022-05-08 09:45:01,3,0.2,0.19995824,61.53,BTC-30DEC22-35000-C,34599.53,buy,0.1,,,,
61,212547125,2022-05-08 09:45:02,3,0.2,0.19995824,61.53,BTC-30DEC22-35000-C,34599.53,buy,0.4,,,,
62,212547127,2022-05-08 09:45:02,3,0.2,0.19998003,61.53,BTC-30DEC22-35000-C,34599.53,buy,0.1,,,,
63,212547174,2022-05-08 09:45:53,2,0.1995,0.19983653,61.39,BTC-30DEC22-35000-C,34591.91,buy,1.4,,,,
64,212782023,2022-05-09 13:06:23,2,0.183,0.18367703,62.83,BTC-30DEC22-35000-C,32850.37,buy,8.0,,,,
65,212816278,2022-05-09 14:40:08,0,0.184,0.18075136,64.29,BTC-30DEC22-35000-C,32547.93,buy,0.5,,,,
66,212843657,2022-05-09 16:14:43,2,0.1831,0.18199267,64.42,BTC-30DEC22-35000-C,32445.26,buy,50.0,,38576,,
67,212848825,2022-05-09 16:40:16,2,0.1777,0.17763445,64.19,BTC-30DEC22-35000-C,32068.08,buy,25.0,,38588,,
68,212888559,2022-05-09 17:27:16,2,0.1735,0.17493254,64.31,BTC-30DEC22-35000-C,31691.76,sell,0.3,,,,
69,212961140,2022-05-09 19:48:38,2,0.1705,0.16752274,67.54,BTC-30DEC22-35000-C,30524.43,buy,3.1,,,,
70,212961779,2022-05-09 19:51:04,2,0.17,0.16780992,67.42,BTC-30DEC22-35000-C,30492.79,buy,2.9,,,,
71,212978410,2022-05-09 20:14:32,0,0.182,0.1822814,66.47,BTC-30DEC22-35000-C,31806.77,buy,7.5,,,,
72,213024070,2022-05-09 23:10:51,2,0.1725,0.17378046,66.02,BTC-30DEC22-35000-C,31064.92,sell,1.0,,,,
73,213135336,2022-05-10 06:09:36,0,0.1835,0.18270103,66.62,BTC-30DEC22-35000-C,31959.39,sell,0.1,,,,
74,213282364,2022-05-10 20:40:21,2,0.1692,0.16772401,65.43,BTC-30DEC22-35000-C,31073.19,buy,25.0,,38799,,
75,213290726,2022-05-10 21:39:50,2,0.1645,0.1638295,66.19,BTC-30DEC22-35000-C,30427.31,sell,0.1,,,,
76,213290727,2022-05-10 21:39:50,3,0.1645,0.1638295,66.19,BTC-30DEC22-35000-C,30427.31,sell,0.1,,,,
77,213290728,2022-05-10 21:39:50,3,0.1645,0.1638295,66.19,BTC-30DEC22-35000-C,30427.31,sell,0.1,,,,
78,213290731,2022-05-10 21:39:50,3,0.1645,0.1638295,66.19,BTC-30DEC22-35000-C,30427.31,sell,0.1,,,,
79,213290732,2022-05-10 21:39:50,3,0.1645,0.1638295,66.19,BTC-30DEC22-35000-C,30427.31,sell,0.1,,,,
80,213290733,2022-05-10 21:39:50,3,0.1645,0.1638295,66.19,BTC-30DEC22-35000-C,30427.31,sell,0.1,,,,
81,213290734,2022-05-10 21:39:50,3,0.1645,0.1638295,66.19,BTC-30DEC22-35000-C,30427.31,sell,0.1,,,,
82,213290737,2022-05-10 21:39:50,3,0.1645,0.1638295,66.19,BTC-30DEC22-35000-C,30427.31,sell,0.1,,,,
83,213421102,2022-05-11 10:47:34,0,0.1805,0.18079536,66.15,BTC-30DEC22-35000-C,31821.19,buy,0.1,,,,
