trade_seq,trade_id,timestamp,tick_direction,price,mark_price,iv,instrument_name,index_price,direction,contracts,amount,block_trade_id,combo_id,liquidation,combo_trade_id
1,259028628,2023-06-23 07:08:32,1,0.1245,0.12834338,53.28,BTC-28JUN24-40000-C,29986.66,sell,,0.1,,,,
2,259153924,2023-06-23 17:32:33,0,0.1375,0.14100697,53.87,BTC-28JUN24-40000-C,31103.43,sell,,1.5,,,,
3,259160808,2023-06-23 18:13:10,0,0.145,0.14305417,55.61,BTC-28JUN24-40000-C,31148.68,sell,,0.1,,,,
4,259218777,2023-06-24 07:17:51,2,0.1305,0.13109071,53.23,BTC-28JUN24-40000-C,30670.81,sell,,0.5,,,,
5,259269323,2023-06-25 03:24:33,3,0.1305,0.13389777,53.15,BTC-28JUN24-40000-C,30687.39,sell,,0.1,,,,
6,259308653,2023-06-25 16:52:57,3,0.1305,0.13278455,53.26,BTC-28JUN24-40000-C,30584.76,sell,,0.1,,,,
7,259323441,2023-06-25 23:01:59,3,0.1305,0.13385537,53.49,BTC-28JUN24-40000-C,30483.39,sell,,0.3,,,,
8,259454066,2023-06-27 02:26:20,2,0.126,0.12997206,52.69,BTC-28JUN24-40000-C,30406.17,sell,,0.1,,,,
9,259513602,2023-06-27 14:45:18,0,0.1305,0.13302003,52.89,BTC-28JUN24-40000-C,30761.26,buy,,1.4,,,,
10,259613459,2023-06-28 15:01:34,2,0.13,0.12937887,53.9,BTC-28JUN24-40000-C,30296.98,sell,,0.1,,,,
11,259622644,2023-06-28 16:35:02,0,0.1305,0.12974247,53.94,BTC-28JUN24-40000-C,30346.67,sell,,0.1,,,,
12,259623883,2023-06-28 16:57:50,2,0.13,0.12922753,53.94,BTC-28JUN24-40000-C,30297.08,sell,,0.1,,,,
13,259624186,2023-06-28 17:01:45,2,0.1295,0.12908297,53.87,BTC-28JUN24-40000-C,30273.34,sell,,0.1,,,,
14,259624801,2023-06-28 17:06:51,2,0.129,0.12867216,53.9,BTC-28JUN24-40000-C,30196.47,sell,,0.1,,,,
15,259626632,2023-06-28 17:15:28,2,0.1285,0.12769151,54.14,BTC-28JUN24-40000-C,30086.03,sell,,0.1,,,,
16,259632607,2023-06-28 19:30:03,3,0.1285,0.12932243,54.19,BTC-28JUN24-40000-C,30031.32,sell,,0.1,,,,
17,259632920,2023-06-28 19:30:15,2,0.128,0.12931377,54.14,BTC-28JUN24-40000-C,30002.76,sell,,0.1,,,,
18,259633871,2023-06-28 19:30:42,2,0.1275,0.12862657,54.15,BTC-28JUN24-40000-C,29928.1,sell,,0.1,,,,
19,259653383,2023-06-29 00:38:23,0,0.1285,0.12860727,54.11,BTC-28JUN24-40000-C,30095.68,sell,,0.1,,,,
20,259653411,2023-06-29 00:38:37,2,0.128,0.12853211,54.01,BTC-28JUN24-40000-C,30086.56,sell,,0.7,,,,
21,259666769,2023-06-29 06:29:55,2,0.127,0.12828519,53.55,BTC-28JUN24-40000-C,30208.32,sell,,0.1,,,,
22,259668701,2023-06-29 07:05:54,3,0.127,0.12738676,53.52,BTC-28JUN24-40000-C,30226.98,sell,,5.0,,,,
23,259723361,2023-06-29 16:46:05,0,0.1275,0.12810689,52.94,BTC-28JUN24-40000-C,30500.66,sell,,0.1,,,,
24,259745775,2023-06-29 20:37:54,2,0.1265,0.12573731,53.12,BTC-28JUN24-40000-C,30332.16,sell,,0.1,,,,
25,259745784,2023-06-29 20:38:03,2,0.126,0.12571686,52.99,BTC-28JUN24-40000-C,30331.29,sell,,0.1,,,,
26,259746731,2023-06-29 20:50:18,2,0.1255,0.12541492,52.71,BTC-28JUN24-40000-C,30368.09,sell,,0.1,,,,
27,259755648,2023-06-30 00:29:08,2,0.1245,0.12791378,52.17,BTC-28JUN24-40000-C,30501.35,sell,,0.1,,,,
28,259907331,2023-06-30 13:48:05,2,0.123,0.12063857,53.46,BTC-28JUN24-40000-C,29519.32,sell,,4.4,,,,
29,259909376,2023-06-30 13:48:33,3,0.123,0.12228869,53.09,BTC-28JUN24-40000-C,29753.61,sell,,5.0,,,,
30,259916345,2023-06-30 13:57:05,0,0.125,0.12291696,53.5,BTC-28JUN24-40000-C,29848.11,sell,,10.0,,,,
31,259986440,2023-06-30 23:06:43,2,0.1245,0.12740518,51.99,BTC-28JUN24-40000-C,30463.46,buy,,0.1,,,,
32,260004567,2023-07-01 10:19:46,0,0.13,0.12836907,53.32,BTC-28JUN24-40000-C,30435.05,buy,,0.1,,,,
33,260015066,2023-07-01 17:15:40,2,0.125,0.12916082,51.62,BTC-28JUN24-40000-C,30579.61,sell,,0.7,,,,
