trade_seq,trade_id,timestamp,tick_direction,price,mark_price,iv,instrument_name,index_price,direction,contracts,amount,combo_trade_id,combo_id,block_trade_id,liquidation
1,330268816,2024-11-28 12:46:54,1,0.0765,0.07674101,59.79,BTC-28FEB25-110000-C,95292.61,sell,0.5,0.5,,,,
2,330419992,2024-11-29 03:02:08,0,0.082,0.08213849,59.67,BTC-28FEB25-110000-C,96756.49,sell,1.4,1.4,,,,
3,330679110,2024-11-30 04:17:43,2,0.08,0.07953218,58.96,BTC-28FEB25-110000-C,96677.61,buy,0.1,0.1,,,,
4,330831634,2024-12-01 23:11:30,0,0.084,0.08395152,59.26,BTC-28FEB25-110000-C,97813.7,buy,0.4,0.4,,,,
5,330876979,2024-12-02 06:09:36,2,0.078,0.07818401,59.28,BTC-28FEB25-110000-C,96249.67,sell,0.8,0.8,,,,
6,330877131,2024-12-02 06:11:22,3,0.078,0.07829487,59.23,BTC-28FEB25-110000-C,96259.61,sell,0.8,0.8,,,,
7,330877134,2024-12-02 06:11:32,3,0.078,0.07823584,59.26,BTC-28FEB25-110000-C,96259.22,sell,0.4,0.4,,,,
8,331121421,2024-12-03 09:27:12,2,0.07,0.07153302,57.86,BTC-28FEB25-110000-C,95213.79,sell,0.1,0.1,,,,
9,331292265,2024-12-04 03:10:44,0,0.073,0.07286673,58.32,BTC-28FEB25-110000-C,95936.11,sell,0.1,0.1,,,,
10,331397818,2024-12-04 16:57:52,2,0.0695,0.06944129,58.38,BTC-28FEB25-110000-C,95014.99,buy,0.9,0.9,,,,
11,331406133,2024-12-04 17:42:00,3,0.0695,0.06934678,58.23,BTC-28FEB25-110000-C,95154.74,buy,0.6,0.6,,,,
12,331524257,2024-12-05 01:18:29,0,0.083,0.08275397,58.72,BTC-28FEB25-110000-C,98571.78,buy,0.6,0.6,,,,
13,331555839,2024-12-05 02:41:05,0,0.091,0.09009484,59.05,BTC-28FEB25-110000-C,100259.52,buy,1.9,1.9,,,,
14,331675367,2024-12-05 05:46:41,0,0.098,0.09773392,59.5,BTC-28FEB25-110000-C,101978.35,sell,0.1,0.1,,,,
15,331675473,2024-12-05 05:46:44,1,0.098,0.0975235,59.5,BTC-28FEB25-110000-C,101903.1,sell,0.1,0.1,,,,
