trade_seq,trade_id,timestamp,tick_direction,price,mark_price,iv,instrument_name,index_price,direction,contracts,amount,combo_id,block_trade_id,combo_trade_id
1,343572811,2025-01-24 04:45:28,1,0.0765,0.07573569,57.01,BTC-14FEB25-101000-C,104670.22,buy,7.9,7.9,,,
2,343696378,2025-01-24 17:29:00,0,0.084,0.08349835,55.63,BTC-14FEB25-101000-C,106410.23,buy,1.0,1.0,,,
3,343757872,2025-01-24 23:29:15,2,0.072,0.07180681,53.82,BTC-14FEB25-101000-C,104604.61,sell,0.3,0.3,,,
4,343757949,2025-01-24 23:30:38,3,0.072,0.07173954,53.88,BTC-14FEB25-101000-C,104595.93,sell,0.2,0.2,,,
5,343757963,2025-01-24 23:30:38,3,0.072,0.07173954,53.88,BTC-14FEB25-101000-C,104595.93,sell,0.5,0.5,,,
6,343779082,2025-01-25 05:55:32,2,0.07,0.06993527,53.09,BTC-14FEB25-101000-C,104384.94,sell,0.1,0.1,,,
7,343908643,2025-01-26 23:17:15,2,0.06,0.05975108,52.65,BTC-14FEB25-101000-C,102726.15,sell,0.1,0.1,,,
8,343949905,2025-01-27 01:01:20,2,0.056,0.05555211,55.19,BTC-14FEB25-101000-C,101766.9,sell,1.4,1.4,,,
9,343949906,2025-01-27 01:01:20,3,0.056,0.05555211,55.19,BTC-14FEB25-101000-C,101766.9,sell,0.7,0.7,,,
10,343949907,2025-01-27 01:01:20,3,0.056,0.05555211,55.19,BTC-14FEB25-101000-C,101766.9,sell,0.1,0.1,,,
11,343950100,2025-01-27 01:01:59,3,0.056,0.05584507,54.64,BTC-14FEB25-101000-C,101832.87,sell,0.6,0.6,,,
12,343950453,2025-01-27 01:02:59,3,0.056,0.05587875,54.69,BTC-14FEB25-101000-C,101832.48,sell,0.6,0.6,,,
13,343950940,2025-01-27 01:06:03,3,0.056,0.05613705,54.45,BTC-14FEB25-101000-C,101865.09,sell,0.6,0.6,,,
14,343985601,2025-01-27 03:01:36,2,0.05,0.05002773,54.27,BTC-14FEB25-101000-C,100808.45,sell,0.1,0.1,,,
15,343985602,2025-01-27 03:01:36,3,0.05,0.05002773,54.27,BTC-14FEB25-101000-C,100808.45,sell,0.1,0.1,,,
16,344015668,2025-01-27 05:51:05,2,0.046,0.04583517,54.98,BTC-14FEB25-101000-C,99869.83,sell,0.1,0.1,,,
17,344053759,2025-01-27 07:20:53,2,0.04,0.039878,56.85,BTC-14FEB25-101000-C,98164.0,sell,0.1,0.1,,,
18,344053760,2025-01-27 07:20:53,3,0.04,0.039878,56.85,BTC-14FEB25-101000-C,98164.0,sell,0.1,0.1,,,
19,344066082,2025-01-27 07:30:24,3,0.04,0.03940778,59.0,BTC-14FEB25-101000-C,98098.18,buy,2.2,2.2,,,
20,344066113,2025-01-27 07:30:25,3,0.04,0.0398966,59.0,BTC-14FEB25-101000-C,98121.98,buy,1.2,1.2,,,
21,344066126,2025-01-27 07:30:25,3,0.04,0.0398966,59.0,BTC-14FEB25-101000-C,98121.98,buy,0.1,0.1,,,
22,344067052,2025-01-27 07:30:53,3,0.04,0.03997041,57.53,BTC-14FEB25-101000-C,98109.07,buy,1.5,1.5,,,
23,344140741,2025-01-27 12:30:03,0,0.0435,0.04369143,56.76,BTC-14FEB25-101000-C,99038.96,sell,0.2,0.2,,,
24,344140743,2025-01-27 12:30:05,1,0.0435,0.04362286,56.76,BTC-14FEB25-101000-C,99023.44,sell,0.2,0.2,,,
25,344140855,2025-01-27 12:31:31,1,0.0435,0.04358666,56.84,BTC-14FEB25-101000-C,99030.51,sell,0.2,0.2,,,
26,344141080,2025-01-27 12:33:45,0,0.044,0.04408186,56.81,BTC-14FEB25-101000-C,99139.17,sell,0.2,0.2,,,
27,344141295,2025-01-27 12:36:49,1,0.044,0.04409975,56.73,BTC-14FEB25-101000-C,99165.42,sell,0.2,0.2,,,
28,344194812,2025-01-27 14:46:10,0,0.054,0.05400298,57.04,BTC-14FEB25-101000-C,101334.43,sell,1.0,1.0,,,
29,344274264,2025-01-27 19:40:01,2,0.0455,0.04580123,55.8,BTC-14FEB25-101000-C,99767.42,sell,0.4,0.4,,,
30,344279089,2025-01-27 20:20:44,0,0.0465,0.04676971,55.75,BTC-14FEB25-101000-C,99974.47,sell,0.6,0.6,,,
31,344317445,2025-01-27 21:51:12,0,0.0525,0.05204723,56.04,BTC-14FEB25-101000-C,101216.88,buy,50.0,50.0,BTC-STRD-14FEB25-101000,179169,
32,344431364,2025-01-28 14:31:32,0,0.0565,0.05704664,53.4,BTC-14FEB25-101000-C,102693.03,sell,4.6,4.6,,,
33,344489508,2025-01-28 19:06:48,2,0.052,0.05180445,52.77,BTC-14FEB25-101000-C,101981.66,buy,1.0,1.0,,,
34,344489509,2025-01-28 19:06:48,3,0.052,0.05180445,52.77,BTC-14FEB25-101000-C,101981.66,buy,1.0,1.0,,,
35,344521734,2025-01-28 22:11:00,2,0.0445,0.04443516,52.92,BTC-14FEB25-101000-C,100459.55,sell,0.1,0.1,,,
36,344521736,2025-01-28 22:11:03,3,0.0445,0.0443757,52.92,BTC-14FEB25-101000-C,100447.85,sell,0.1,0.1,,,
37,344521790,2025-01-28 22:11:18,3,0.0445,0.04437391,53.0,BTC-14FEB25-101000-C,100444.09,sell,0.8,0.8,,,
38,344599995,2025-01-29 14:43:52,0,0.0515,0.050948,52.98,BTC-14FEB25-101000-C,102085.22,buy,0.1,0.1,,,
39,344612924,2025-01-29 16:28:23,2,0.05,0.04955888,52.35,BTC-14FEB25-101000-C,101882.05,buy,1.0,1.0,,,
40,344644585,2025-01-29 19:30:26,2,0.0485,0.04863003,53.01,BTC-14FEB25-101000-C,101716.33,sell,1.0,1.0,,,
41,344656004,2025-01-29 19:41:00,0,0.059,0.06007711,50.24,BTC-14FEB25-101000-C,103814.06,sell,0.1,0.1,,,
42,344656788,2025-01-29 19:41:19,2,0.0585,0.05989626,50.21,BTC-14FEB25-101000-C,103815.0,sell,0.1,0.1,,,
43,344780539,2025-01-30 06:49:04,0,0.067,0.06735365,51.3,BTC-14FEB25-101000-C,105219.33,buy,0.7,0.7,,,
44,344780555,2025-01-30 06:49:10,1,0.067,0.06734893,51.31,BTC-14FEB25-101000-C,105218.4,buy,0.3,0.3,,,
