trade_seq,trade_id,timestamp,tick_direction,price,mark_price,iv,instrument_name,index_price,direction,contracts,amount,combo_id,block_trade_id
1,326470281,2024-11-13 17:47:24,1,0.0755,0.07533402,57.98,BTC-28MAR25-115000-C,91898.74,sell,0.1,0.1,,
2,326470282,2024-11-13 17:47:24,1,0.0755,0.07533402,57.98,BTC-28MAR25-115000-C,91898.74,sell,0.1,0.1,,
3,326470331,2024-11-13 17:47:38,0,0.076,0.07543397,58.14,BTC-28MAR25-115000-C,91938.22,buy,3.0,3.0,,
4,326470334,2024-11-13 17:47:38,1,0.076,0.07543397,58.14,BTC-28MAR25-115000-C,91938.22,sell,6.2,6.2,,
5,326470345,2024-11-13 17:47:40,1,0.076,0.07546259,58.14,BTC-28MAR25-115000-C,91939.37,sell,0.8,0.8,,
6,326478871,2024-11-13 18:17:56,1,0.076,0.07616245,57.59,BTC-28MAR25-115000-C,92420.06,sell,0.1,0.1,,
7,326514418,2024-11-13 19:26:57,2,0.0725,0.07132108,58.51,BTC-28MAR25-115000-C,90774.77,buy,0.3,0.3,,
8,326681829,2024-11-14 07:39:50,2,0.065,0.06546786,56.36,BTC-28MAR25-115000-C,89998.27,buy,0.7,0.7,,
9,326716282,2024-11-14 09:30:43,0,0.069,0.06936291,57.1,BTC-28MAR25-115000-C,90689.32,sell,0.7,0.7,,
10,326716283,2024-11-14 09:30:43,1,0.069,0.06936291,57.1,BTC-28MAR25-115000-C,90689.32,sell,0.1,0.1,,
11,326716284,2024-11-14 09:30:43,1,0.069,0.06936291,57.1,BTC-28MAR25-115000-C,90689.32,sell,0.2,0.2,,
12,326757571,2024-11-14 12:27:26,0,0.0725,0.07200768,57.62,BTC-28MAR25-115000-C,91383.68,buy,5.0,5.0,,
13,326766650,2024-11-14 13:26:56,1,0.0725,0.07273334,58.08,BTC-28MAR25-115000-C,91048.7,buy,0.7,0.7,,
14,326782282,2024-11-14 14:33:06,0,0.074,0.0735942,58.04,BTC-28MAR25-115000-C,91534.29,buy,2.3,2.3,,
15,326893277,2024-11-14 20:04:18,2,0.0645,0.06387326,57.59,BTC-28MAR25-115000-C,89096.3,buy,0.1,0.1,,
16,326936830,2024-11-14 21:43:04,2,0.0605,0.06076345,57.4,BTC-28MAR25-115000-C,87925.06,buy,1.0,1.0,,
17,326976140,2024-11-15 00:09:59,0,0.061,0.06084595,57.67,BTC-28MAR25-115000-C,87920.03,buy,1.4,1.4,,
18,326976968,2024-11-15 00:12:40,1,0.061,0.06119375,57.49,BTC-28MAR25-115000-C,88043.25,buy,0.8,0.8,,
19,327111111,2024-11-15 10:14:04,0,0.0655,0.06483869,58.04,BTC-28MAR25-115000-C,89097.64,buy,1.0,1.0,,
20,327111305,2024-11-15 10:14:22,1,0.0655,0.06490753,58.01,BTC-28MAR25-115000-C,89117.68,buy,0.8,0.8,,
21,327111306,2024-11-15 10:14:22,1,0.0655,0.06490753,58.01,BTC-28MAR25-115000-C,89117.68,sell,0.2,0.2,,
22,327111744,2024-11-15 10:15:09,1,0.0655,0.06499246,58.0,BTC-28MAR25-115000-C,89124.78,sell,1.0,1.0,,
23,327132295,2024-11-15 11:38:48,0,0.068,0.06774601,58.54,BTC-28MAR25-115000-C,89554.66,sell,0.2,0.2,,
24,327139430,2024-11-15 12:05:07,0,0.0695,0.06873526,58.92,BTC-28MAR25-115000-C,89747.74,buy,0.2,0.2,,
25,327145672,2024-11-15 12:14:23,0,0.0715,0.07144817,58.55,BTC-28MAR25-115000-C,90596.58,sell,0.2,0.2,,
