trade_seq,trade_id,timestamp,tick_direction,price,mark_price,iv,instrument_name,index_price,direction,contracts,amount,combo_trade_id,combo_id,block_trade_id,liquidation
1,276966711,2023-12-28 12:30:47,1,0.1535,0.15877356,59.71,BTC-27DEC24-60000-C,42955.94,sell,0.5,0.5,,,,
2,276977092,2023-12-28 14:03:41,0,0.1645,0.16061837,62.87,BTC-27DEC24-60000-C,42794.63,sell,0.1,0.1,,,,
3,276998217,2023-12-28 16:02:56,2,0.16,0.15984844,62.54,BTC-27DEC24-60000-C,42371.55,sell,0.5,0.5,,,,
4,276998218,2023-12-28 16:02:56,2,0.1585,0.15984844,62.17,BTC-27DEC24-60000-C,42371.55,sell,0.3,0.3,,,,
5,276998219,2023-12-28 16:02:56,2,0.158,0.15984844,62.04,BTC-27DEC24-60000-C,42371.55,sell,0.9,0.9,,,,
6,277034830,2023-12-28 22:59:52,0,0.1635,0.16441218,62.8,BTC-27DEC24-60000-C,42657.68,sell,0.1,0.1,,,,
7,277044767,2023-12-29 00:58:31,1,0.1635,0.15857601,63.26,BTC-27DEC24-60000-C,42420.0,buy,1.0,1.0,,,,
8,277149488,2023-12-29 14:07:10,2,0.1595,0.16084939,61.51,BTC-27DEC24-60000-C,42832.67,sell,0.1,0.1,,,,
9,277162651,2023-12-29 15:39:29,3,0.1595,0.16098341,61.62,BTC-27DEC24-60000-C,42740.52,sell,0.1,0.1,,,,
10,277166717,2023-12-29 15:51:31,3,0.1595,0.15916284,62.23,BTC-27DEC24-60000-C,42364.36,sell,1.3,1.3,,,,
11,277175885,2023-12-29 16:18:45,3,0.1595,0.15664092,62.6,BTC-27DEC24-60000-C,42177.62,sell,0.3,0.3,,,,
12,277185820,2023-12-29 17:00:22,2,0.155,0.15590743,61.8,BTC-27DEC24-60000-C,41985.63,sell,0.1,0.1,,,,
13,277186525,2023-12-29 17:03:22,3,0.155,0.15617373,61.73,BTC-27DEC24-60000-C,42040.08,sell,0.1,0.1,,,,
14,277186530,2023-12-29 17:03:27,3,0.155,0.15619935,61.72,BTC-27DEC24-60000-C,42047.24,sell,0.1,0.1,,,,
15,277190106,2023-12-29 17:10:31,3,0.155,0.15459873,62.14,BTC-27DEC24-60000-C,41779.93,sell,0.7,0.7,,,,
16,277190892,2023-12-29 17:13:02,0,0.1555,0.15528657,62.02,BTC-27DEC24-60000-C,41949.37,buy,0.3,0.3,,,,
17,277190893,2023-12-29 17:13:02,1,0.1555,0.15528657,62.02,BTC-27DEC24-60000-C,41949.37,buy,0.6,0.6,,,,
18,277197911,2023-12-29 18:00:35,2,0.153,0.15554524,61.5,BTC-27DEC24-60000-C,41803.82,sell,0.1,0.1,,,,
19,277201025,2023-12-29 18:44:52,3,0.153,0.1557359,61.0,BTC-27DEC24-60000-C,42098.99,buy,5.0,5.0,,,,
20,277279074,2023-12-30 15:15:12,0,0.164,0.15815761,63.07,BTC-27DEC24-60000-C,42262.3,buy,0.6,0.6,,,,
21,277279075,2023-12-30 15:15:12,1,0.164,0.15815761,63.07,BTC-27DEC24-60000-C,42262.3,buy,0.2,0.2,,,,
22,277284198,2023-12-30 16:21:37,1,0.164,0.16029136,62.4,BTC-27DEC24-60000-C,42550.82,sell,0.1,0.1,,,,
23,277293562,2023-12-30 19:21:59,2,0.163,0.16429695,62.28,BTC-27DEC24-60000-C,42422.89,sell,0.5,0.5,,,,
24,277313941,2023-12-31 05:08:36,0,0.166,0.16490423,63.19,BTC-27DEC24-60000-C,42248.16,buy,0.1,0.1,,,,
25,277398347,2024-01-01 10:54:30,0,0.173,0.17124271,63.79,BTC-27DEC24-60000-C,42731.47,sell,0.5,0.5,,,,
26,277474083,2024-01-01 23:57:06,0,0.181,0.1859252,62.95,BTC-27DEC24-60000-C,44154.58,sell,0.2,0.2,,,,
27,277480736,2024-01-02 00:08:37,0,0.182,0.18706566,62.77,BTC-27DEC24-60000-C,44391.7,sell,0.1,0.1,,,,
28,277498425,2024-01-02 00:47:55,0,0.1945,0.19175916,65.1,BTC-27DEC24-60000-C,44812.17,buy,1.0,1.0,,,,
29,277510751,2024-01-02 01:05:38,0,0.195,0.19586663,64.39,BTC-27DEC24-60000-C,45204.81,sell,1.0,1.0,,,,
30,277512145,2024-01-02 01:07:30,2,0.1935,0.1941971,63.9,BTC-27DEC24-60000-C,45272.31,buy,0.5,0.5,,,,
31,277521882,2024-01-02 01:51:26,2,0.1895,0.19080915,63.67,BTC-27DEC24-60000-C,44773.89,buy,0.1,0.1,,,,
32,277524556,2024-01-02 02:22:04,0,0.19,0.18949615,63.41,BTC-27DEC24-60000-C,45048.58,buy,0.1,0.1,,,,
33,277545894,2024-01-02 05:01:18,0,0.1965,0.19654414,64.47,BTC-27DEC24-60000-C,45210.3,sell,1.0,1.0,,,,
34,277548117,2024-01-02 05:41:24,2,0.192,0.19441549,63.18,BTC-27DEC24-60000-C,45315.9,sell,0.1,0.1,,,,
35,277548149,2024-01-02 05:42:02,2,0.1915,0.19331334,63.06,BTC-27DEC24-60000-C,45302.3,sell,0.1,0.1,,,,
36,277548164,2024-01-02 05:42:13,3,0.1915,0.19314723,63.08,BTC-27DEC24-60000-C,45295.19,sell,0.1,0.1,,,,
37,277548177,2024-01-02 05:42:24,3,0.1915,0.19308217,63.08,BTC-27DEC24-60000-C,45289.78,sell,0.1,0.1,,,,
38,277548183,2024-01-02 05:42:34,3,0.1915,0.19306933,63.08,BTC-27DEC24-60000-C,45285.72,sell,0.1,0.1,,,,
39,277548427,2024-01-02 05:47:02,3,0.1915,0.19410701,63.06,BTC-27DEC24-60000-C,45287.32,sell,0.1,0.1,,,,
40,277548429,2024-01-02 05:47:06,3,0.1915,0.19409167,63.06,BTC-27DEC24-60000-C,45287.66,sell,0.1,0.1,,,,
41,277548480,2024-01-02 05:47:26,3,0.1915,0.19405259,63.04,BTC-27DEC24-60000-C,45301.38,buy,0.1,0.1,,,,
42,277548494,2024-01-02 05:47:35,3,0.1915,0.19416768,63.02,BTC-27DEC24-60000-C,45316.52,sell,0.1,0.1,,,,
43,277548508,2024-01-02 05:47:40,3,0.1915,0.19418028,63.02,BTC-27DEC24-60000-C,45319.29,sell,0.1,0.1,,,,
44,277552953,2024-01-02 06:48:14,3,0.1915,0.19432803,63.11,BTC-27DEC24-60000-C,45293.86,buy,1.0,1.0,,,,
45,277558934,2024-01-02 07:29:57,0,0.1945,0.19639883,63.4,BTC-27DEC24-60000-C,45486.18,buy,0.5,0.5,,,,
46,277572709,2024-01-02 08:23:21,0,0.197,0.19991628,63.24,BTC-27DEC24-60000-C,45858.62,buy,0.1,0.1,,,,
47,277573321,2024-01-02 08:25:47,1,0.197,0.19970881,63.29,BTC-27DEC24-60000-C,45836.31,buy,0.1,0.1,,,,
48,277589748,2024-01-02 10:26:49,0,0.1995,0.19497073,64.31,BTC-27DEC24-60000-C,45656.17,buy,0.1,0.1,,,,
49,277590325,2024-01-02 10:33:38,2,0.191,0.19244376,62.11,BTC-27DEC24-60000-C,45677.27,buy,0.1,0.1,,,,
50,277590328,2024-01-02 10:33:41,3,0.191,0.1923476,62.11,BTC-27DEC24-60000-C,45674.31,buy,0.1,0.1,,,,
51,277601567,2024-01-02 11:51:23,2,0.187,0.18720636,61.75,BTC-27DEC24-60000-C,45326.06,buy,0.1,0.1,,,,
52,277676317,2024-01-02 19:18:15,2,0.186,0.18863492,61.89,BTC-27DEC24-60000-C,45168.04,sell,0.5,0.5,,,,
53,277681225,2024-01-02 19:42:49,0,0.1905,0.1859776,63.33,BTC-27DEC24-60000-C,44993.4,buy,5.0,5.0,,,,
54,277681226,2024-01-02 19:42:49,1,0.1905,0.1859776,63.33,BTC-27DEC24-60000-C,44993.4,buy,2.0,2.0,,,,
55,277681227,2024-01-02 19:42:49,1,0.1905,0.1859776,63.33,BTC-27DEC24-60000-C,44993.4,sell,1.0,1.0,,,,
56,277681228,2024-01-02 19:42:49,1,0.1905,0.1859776,63.33,BTC-27DEC24-60000-C,44993.4,sell,2.0,2.0,,,,
57,277707898,2024-01-02 23:39:16,2,0.1835,0.18497898,61.92,BTC-27DEC24-60000-C,44890.56,buy,1.0,1.0,,,,
58,277758943,2024-01-03 10:54:14,2,0.18,0.18184293,60.83,BTC-27DEC24-60000-C,45125.13,buy,4.5,4.5,,,,
59,277943654,2024-01-03 16:38:46,2,0.1775,0.17798917,64.55,BTC-27DEC24-60000-C,43095.54,sell,5.0,5.0,,,,
60,277989616,2024-01-03 19:50:01,2,0.1735,0.17398532,64.33,BTC-27DEC24-60000-C,42674.3,sell,0.1,0.1,,,,
61,277989863,2024-01-03 19:51:25,3,0.1735,0.17399437,64.36,BTC-27DEC24-60000-C,42657.76,sell,0.1,0.1,,,,
62,277989928,2024-01-03 19:52:08,3,0.1735,0.1741052,64.34,BTC-27DEC24-60000-C,42652.15,sell,0.1,0.1,,,,
63,277990394,2024-01-03 19:56:52,3,0.1735,0.17420234,64.42,BTC-27DEC24-60000-C,42621.37,sell,0.1,0.1,,,,
