trade_seq,trade_id,timestamp,tick_direction,price,mark_price,iv,instrument_name,index_price,direction,contracts,amount,liquidation,combo_id,block_trade_id,combo_trade_id
1,265491951,2023-09-28 08:36:40,1,0.071,0.06913937,61.19,BTC-27SEP24-50000-C,26404.94,sell,,8.0,,,,
2,265603511,2023-09-29 08:03:23,2,0.0705,0.07479862,59.35,BTC-27SEP24-50000-C,27162.08,sell,,0.1,,,,
3,265624554,2023-09-29 12:43:16,0,0.0725,0.07256738,60.71,BTC-27SEP24-50000-C,26998.91,sell,,50.0,,,98549,
4,265625265,2023-09-29 13:07:17,1,0.0725,0.07312389,60.72,BTC-27SEP24-50000-C,26971.28,sell,,0.1,,,,
5,265647580,2023-09-29 17:56:03,2,0.0679,0.07113029,59.55,BTC-27SEP24-50000-C,26840.05,sell,,200.0,,BTC-CSR12-27SEP24-35000_50000,98603,
6,265647855,2023-09-29 18:00:01,2,0.0669,0.07132676,59.11,BTC-27SEP24-50000-C,26841.69,sell,,150.0,,BTC-CSR23-27SEP24-35000_50000,98606,
7,265648881,2023-09-29 18:09:13,0,0.07,0.07086248,60.2,BTC-27SEP24-50000-C,26769.6,sell,,0.1,,,,
8,265654040,2023-09-29 19:34:11,0,0.0705,0.07176338,60.0,BTC-27SEP24-50000-C,26929.77,sell,,0.1,,,,
9,265654046,2023-09-29 19:34:14,2,0.07,0.07176216,59.85,BTC-27SEP24-50000-C,26929.81,sell,,0.1,,,,
10,265656595,2023-09-29 20:15:45,2,0.0695,0.07109984,59.71,BTC-27SEP24-50000-C,26922.62,sell,,0.1,,,,
11,265658467,2023-09-29 20:55:43,2,0.069,0.0707183,59.58,BTC-27SEP24-50000-C,26897.33,sell,,0.1,,,,
12,265673682,2023-09-30 11:24:47,0,0.0725,0.06928002,60.59,BTC-27SEP24-50000-C,26982.55,buy,,1.0,,,,
13,265791646,2023-10-02 07:59:51,0,0.078,0.07847607,59.41,BTC-27SEP24-50000-C,28302.25,sell,,0.1,,,,
14,265940197,2023-10-03 15:11:26,2,0.0741,0.07487341,60.32,BTC-27SEP24-50000-C,27336.12,buy,,25.0,,BTC-CS-27SEP24-35000_50000,99206,
15,265962912,2023-10-03 20:05:06,0,0.0745,0.07484278,60.69,BTC-27SEP24-50000-C,27259.63,sell,,0.1,,,,
16,265963314,2023-10-03 20:05:55,2,0.074,0.07478845,60.55,BTC-27SEP24-50000-C,27251.09,sell,,0.5,,,,
