trade_seq,trade_id,timestamp,tick_direction,price,mark_price,iv,instrument_name,index_price,direction,contracts,amount,liquidation,combo_id,block_trade_id,combo_trade_id
17,265963315,2023-10-03 20:05:55,3,0.074,0.07478845,60.55,BTC-27SEP24-50000-C,27251.09,sell,,0.5,,,,
18,265963328,2023-10-03 20:05:57,2,0.073,0.07475954,60.25,BTC-27SEP24-50000-C,27247.58,sell,,10.0,,,,
19,266014031,2023-10-04 14:12:29,0,0.074,0.07516328,60.18,BTC-27SEP24-50000-C,27451.2,sell,,0.1,,,,
20,266015357,2023-10-04 14:32:34,2,0.073,0.07471166,60.02,BTC-27SEP24-50000-C,27386.49,sell,,0.1,,,,
21,266025538,2023-10-04 18:03:19,0,0.0735,0.07529801,59.78,BTC-27SEP24-50000-C,27544.73,buy,,0.1,,,,
22,266025548,2023-10-04 18:03:55,2,0.073,0.07523212,59.63,BTC-27SEP24-50000-C,27543.09,sell,,0.2,,,,
23,266025552,2023-10-04 18:05:08,3,0.073,0.07525369,59.62,BTC-27SEP24-50000-C,27545.81,sell,,0.1,,,,
24,266035757,2023-10-04 19:50:21,0,0.0735,0.07494352,59.66,BTC-27SEP24-50000-C,27612.53,sell,,0.3,,,,
25,266038022,2023-10-04 20:26:41,0,0.075,0.07490138,59.95,BTC-27SEP24-50000-C,27691.65,buy,,0.4,,,,
26,266054877,2023-10-05 06:37:42,0,0.076,0.07541097,60.38,BTC-27SEP24-50000-C,27639.8,buy,,1.0,,,,
27,266058108,2023-10-05 07:59:32,0,0.0765,0.07535674,60.64,BTC-27SEP24-50000-C,27607.17,buy,,0.1,,,,
28,266081398,2023-10-05 14:21:08,1,0.0765,0.07600408,59.63,BTC-27SEP24-50000-C,28111.75,buy,,0.9,,,,
29,266167950,2023-10-06 13:24:52,2,0.073,0.07391566,60.2,BTC-27SEP24-50000-C,27411.08,sell,,5.0,,,,
30,266287291,2023-10-09 05:12:37,0,0.078,0.07725826,60.84,BTC-27SEP24-50000-C,27941.26,sell,,0.3,,,,
31,266299574,2023-10-09 09:23:22,2,0.075,0.0760269,60.28,BTC-27SEP24-50000-C,27785.86,sell,,0.2,,,,
32,266306844,2023-10-09 10:15:08,2,0.0739,0.07442883,60.46,BTC-27SEP24-50000-C,27549.22,sell,,25.0,,BTC-CS-27SEP24-35000_50000,99954,
33,266310007,2023-10-09 10:32:52,0,0.0755,0.07451515,61.03,BTC-27SEP24-50000-C,27529.16,buy,,0.2,,,,
34,266331212,2023-10-09 13:12:08,2,0.073,0.07406847,60.53,BTC-27SEP24-50000-C,27442.69,sell,,1.0,,,,
35,266331562,2023-10-09 13:17:54,3,0.073,0.07390341,60.58,BTC-27SEP24-50000-C,27422.05,sell,,1.0,,,,
36,266338078,2023-10-09 15:15:52,0,0.0755,0.07445811,61.11,BTC-27SEP24-50000-C,27518.43,buy,,0.1,,,,
37,266338079,2023-10-09 15:15:52,0,0.076,0.07445811,61.27,BTC-27SEP24-50000-C,27518.43,buy,,1.8,,,,
38,266366307,2023-10-09 22:01:24,2,0.073,0.07457415,60.14,BTC-27SEP24-50000-C,27615.45,sell,,2.6,,,,
39,266440481,2023-10-11 03:09:39,2,0.072,0.07219828,61.12,BTC-27SEP24-50000-C,27103.88,sell,,10.0,,,,
40,266440482,2023-10-11 03:09:39,3,0.072,0.07219828,61.12,BTC-27SEP24-50000-C,27103.88,sell,,5.0,,,,
41,266444183,2023-10-11 03:40:21,2,0.0715,0.0716771,61.08,BTC-27SEP24-50000-C,27070.6,sell,,0.1,,,,
42,266475372,2023-10-11 10:08:51,2,0.071,0.07120458,60.59,BTC-27SEP24-50000-C,27245.59,sell,,0.1,,,,
43,266497859,2023-10-11 15:27:44,2,0.07,0.07041052,61.2,BTC-27SEP24-50000-C,26825.22,sell,,0.1,,,,
44,266497860,2023-10-11 15:27:44,3,0.07,0.07041052,61.2,BTC-27SEP24-50000-C,26825.22,sell,,4.9,,,,
45,266500655,2023-10-11 15:34:55,3,0.07,0.07063229,61.23,BTC-27SEP24-50000-C,26815.75,sell,,10.0,,,,
46,266501683,2023-10-11 15:38:26,3,0.07,0.07056297,61.28,BTC-27SEP24-50000-C,26811.61,sell,,0.1,,,,
47,266502004,2023-10-11 15:40:31,2,0.0685,0.07061503,60.74,BTC-27SEP24-50000-C,26851.1,sell,,0.1,,,,
48,266502005,2023-10-11 15:40:31,3,0.0685,0.07061503,60.74,BTC-27SEP24-50000-C,26851.1,sell,,0.1,,,,
49,266512778,2023-10-11 16:22:00,2,0.068,0.06721407,61.03,BTC-27SEP24-50000-C,26672.47,buy,,4.0,,,,
50,266512814,2023-10-11 16:22:15,3,0.068,0.06722839,61.03,BTC-27SEP24-50000-C,26667.57,buy,,3.0,,,,
51,266539955,2023-10-11 22:48:04,2,0.0675,0.06894635,60.7,BTC-27SEP24-50000-C,26765.89,sell,,0.1,,,,
52,266576115,2023-10-12 15:22:44,0,0.0685,0.06897841,61.23,BTC-27SEP24-50000-C,26707.09,sell,,0.1,,,,
53,266596074,2023-10-12 22:12:58,2,0.068,0.06855034,60.95,BTC-27SEP24-50000-C,26755.3,sell,,0.1,,,,
54,266611972,2023-10-13 07:04:29,0,0.0685,0.06891993,61.0,BTC-27SEP24-50000-C,26827.44,sell,,0.1,,,,
55,266611974,2023-10-13 07:04:41,0,0.069,0.06892758,61.16,BTC-27SEP24-50000-C,26827.78,sell,,0.1,,,,
56,266611978,2023-10-13 07:04:59,0,0.07,0.0689356,61.48,BTC-27SEP24-50000-C,26824.71,sell,,0.1,,,,
57,266612910,2023-10-13 07:17:56,1,0.07,0.06896448,61.41,BTC-27SEP24-50000-C,26854.54,sell,,1.0,,,,
58,266613783,2023-10-13 07:30:19,1,0.07,0.06894388,61.35,BTC-27SEP24-50000-C,26879.99,sell,,2.0,,,,
59,266618961,2023-10-13 07:57:59,2,0.069,0.06939803,61.12,BTC-27SEP24-50000-C,26853.65,sell,,0.1,,,,
60,266643292,2023-10-13 15:37:08,2,0.067,0.06792129,60.86,BTC-27SEP24-50000-C,26700.76,sell,,0.1,,,,
61,266656665,2023-10-13 20:44:12,2,0.0668,0.067964,60.65,BTC-27SEP24-50000-C,26765.89,buy,,25.0,,BTC-CS-27SEP24-35000_50000,100834,
62,266670977,2023-10-13 21:35:53,0,0.0675,0.06972067,60.3,BTC-27SEP24-50000-C,27016.09,sell,,0.1,,,,
63,266689437,2023-10-14 08:34:03,2,0.0665,0.0687778,60.39,BTC-27SEP24-50000-C,26867.93,sell,,0.2,,,,
64,266696138,2023-10-14 17:23:47,0,0.069,0.06848416,61.13,BTC-27SEP24-50000-C,26910.15,sell,,0.1,,,,
65,266696141,2023-10-14 17:24:47,2,0.068,0.06850128,60.8,BTC-27SEP24-50000-C,26913.95,sell,,0.1,,,,
66,266700724,2023-10-15 00:59:55,2,0.0665,0.06903814,60.47,BTC-27SEP24-50000-C,26851.18,sell,,5.0,,,,
67,266704625,2023-10-15 08:27:06,3,0.0665,0.0682953,60.39,BTC-27SEP24-50000-C,26890.72,sell,,5.0,,,,
68,266704626,2023-10-15 08:27:08,3,0.0665,0.06829502,60.39,BTC-27SEP24-50000-C,26890.78,sell,,5.0,,,,
69,266704627,2023-10-15 08:27:09,3,0.0665,0.06829475,60.39,BTC-27SEP24-50000-C,26890.73,sell,,4.8,,,,
70,266762427,2023-10-16 06:02:15,0,0.073,0.07185967,60.19,BTC-27SEP24-50000-C,27941.23,buy,,0.4,,,,
71,266780909,2023-10-16 09:13:08,2,0.0728,0.07211823,60.71,BTC-27SEP24-50000-C,27697.09,buy,,12.5,,BTC-CS-27SEP24-32000_50000,101018,
72,266780989,2023-10-16 09:13:26,3,0.0728,0.07208793,60.73,BTC-27SEP24-50000-C,27689.28,buy,,12.5,,BTC-CS-27SEP24-32000_50000,101019,
73,266783719,2023-10-16 09:45:00,0,0.073,0.0726763,60.67,BTC-27SEP24-50000-C,27727.91,sell,,0.1,,,,
74,266788402,2023-10-16 10:48:57,2,0.0715,0.07257324,60.1,BTC-27SEP24-50000-C,27772.2,sell,,5.0,,,,
75,266808091,2023-10-16 13:27:13,0,0.074,0.07488427,59.57,BTC-27SEP24-50000-C,28366.73,buy,,0.1,,,,
76,266808092,2023-10-16 13:27:13,1,0.074,0.07488427,59.57,BTC-27SEP24-50000-C,28366.73,buy,,0.1,,,,
77,266914961,2023-10-16 14:50:22,2,0.073,0.07493926,59.55,BTC-27SEP24-50000-C,28203.97,buy,,0.1,,,,
78,266945855,2023-10-16 18:32:19,2,0.0705,0.07299115,58.41,BTC-27SEP24-50000-C,28338.41,sell,,0.1,,,,
79,267000490,2023-10-17 05:50:12,0,0.075,0.0752739,60.25,BTC-27SEP24-50000-C,28191.66,sell,,0.1,,,,
80,267145041,2023-10-18 08:11:30,1,0.075,0.07568937,59.65,BTC-27SEP24-50000-C,28534.89,buy,,12.0,,,,
81,267190735,2023-10-18 22:27:02,2,0.0736,0.07432105,59.73,BTC-27SEP24-50000-C,28335.43,sell,,25.0,,BTC-CS-27SEP24-35000_50000,101674,
82,267328173,2023-10-20 05:29:16,0,0.0775,0.08033526,59.13,BTC-27SEP24-50000-C,29175.57,sell,,0.1,,,,
83,267355760,2023-10-20 08:25:14,0,0.0855,0.08383401,60.91,BTC-27SEP24-50000-C,29478.64,sell,,0.1,M,,,
84,267359733,2023-10-20 08:29:09,2,0.084,0.08461995,60.22,BTC-27SEP24-50000-C,29613.44,buy,,0.4,,,,
85,267396231,2023-10-20 11:08:15,0,0.087,0.08750934,60.42,BTC-27SEP24-50000-C,29881.58,buy,,5.0,,,,
86,267421184,2023-10-20 13:37:43,0,0.0877,0.08816464,61.19,BTC-27SEP24-50000-C,29632.95,sell,,25.0,,BTC-CS-27SEP24-35000_50000,102271,
87,267500416,2023-10-21 17:33:53,2,0.0871,0.08722829,60.47,BTC-27SEP24-50000-C,29972.54,sell,,25.0,,BTC-CS-27SEP24-35000_50000,102451,
88,267579889,2023-10-22 23:02:59,0,0.0905,0.08971963,61.44,BTC-27SEP24-50000-C,29991.75,buy,,0.1,,,,
89,267587606,2023-10-23 01:03:09,0,0.091,0.0908766,61.31,BTC-27SEP24-50000-C,30107.76,buy,,20.0,,,,
90,267596565,2023-10-23 01:28:20,0,0.093,0.0931972,61.19,BTC-27SEP24-50000-C,30419.17,buy,,20.0,,,,
91,267712403,2023-10-23 11:52:15,0,0.0975,0.0956949,61.86,BTC-27SEP24-50000-C,30761.32,buy,,0.1,,,,
92,267712415,2023-10-23 11:52:25,1,0.0975,0.09576151,61.85,BTC-27SEP24-50000-C,30767.25,buy,,0.1,,,,
93,267775577,2023-10-23 17:18:38,0,0.098,0.09610844,61.18,BTC-27SEP24-50000-C,31141.58,buy,,0.1,,,,
94,267781329,2023-10-23 17:41:08,0,0.1,0.0979056,61.99,BTC-27SEP24-50000-C,31049.08,buy,,0.1,,,,
95,267781330,2023-10-23 17:41:08,1,0.1,0.0979056,61.99,BTC-27SEP24-50000-C,31049.08,buy,,0.1,,,,
96,267783056,2023-10-23 17:54:32,2,0.0986,0.0995216,61.6,BTC-27SEP24-50000-C,31044.03,sell,,25.0,,BTC-CS-27SEP24-35000_50000,103214,
97,267804885,2023-10-23 19:07:07,0,0.1017,0.10255004,61.91,BTC-27SEP24-50000-C,31225.74,sell,,25.0,,BTC-CS-27SEP24-35000_50000,103262,
98,267850943,2023-10-23 22:20:44,0,0.1075,0.10832497,62.05,BTC-27SEP24-50000-C,31961.77,sell,,25.0,,BTC-CS-27SEP24-35000_50000,103406,
99,267864466,2023-10-23 22:40:57,0,0.11,0.11077334,61.66,BTC-27SEP24-50000-C,32434.95,buy,,0.1,,,,
100,267963147,2023-10-23 23:36:54,0,0.119,0.115491,63.02,BTC-27SEP24-50000-C,32858.2,buy,,1.0,,,,
101,268008328,2023-10-24 01:42:42,0,0.121,0.1185599,61.59,BTC-27SEP24-50000-C,33745.37,buy,,0.6,,,,
102,268143102,2023-10-24 08:08:01,0,0.1225,0.12438667,61.04,BTC-27SEP24-50000-C,34084.65,sell,,0.4,,,,
103,268144680,2023-10-24 08:15:47,0,0.125,0.12202401,61.74,BTC-27SEP24-50000-C,34076.3,buy,,0.1,,,,
104,268149195,2023-10-24 08:39:26,1,0.125,0.12267496,61.6,BTC-27SEP24-50000-C,34143.21,buy,,0.1,,,,
105,268211546,2023-10-24 12:30:11,0,0.1315,0.13188068,62.61,BTC-27SEP24-50000-C,34543.6,sell,,0.1,,,,
106,268221013,2023-10-24 13:11:25,2,0.13,0.12905828,62.65,BTC-27SEP24-50000-C,34343.47,sell,,0.1,,,,
107,268226071,2023-10-24 13:29:05,0,0.1305,0.13138416,62.58,BTC-27SEP24-50000-C,34446.56,sell,,1.0,,,,
108,268233181,2023-10-24 13:54:53,2,0.1295,0.13047283,62.59,BTC-27SEP24-50000-C,34333.55,sell,,0.1,,,,
109,268237710,2023-10-24 14:19:20,2,0.129,0.1294213,62.73,BTC-27SEP24-50000-C,34180.35,sell,,0.1,,,,
110,268249858,2023-10-24 14:53:15,2,0.1265,0.1270992,61.54,BTC-27SEP24-50000-C,34447.26,sell,,0.1,,,,
111,268253277,2023-10-24 15:02:44,2,0.1235,0.12299365,60.86,BTC-27SEP24-50000-C,34410.58,sell,,0.1,,,,
112,268513923,2023-10-25 09:30:01,2,0.115,0.11483054,59.24,BTC-27SEP24-50000-C,34257.58,sell,,0.1,,,,
113,268516683,2023-10-25 09:40:57,2,0.1145,0.1146017,59.25,BTC-27SEP24-50000-C,34168.66,sell,,0.1,,,,
114,268578889,2023-10-25 15:15:40,0,0.1195,0.1212442,59.07,BTC-27SEP24-50000-C,34729.54,buy,,0.1,,,,
115,268622043,2023-10-25 17:49:37,0,0.1215,0.12490284,59.61,BTC-27SEP24-50000-C,34653.11,sell,,0.1,,,,
116,268755988,2023-10-26 13:40:22,0,0.123,0.12592647,61.04,BTC-27SEP24-50000-C,34203.88,buy,,0.1,,,,
117,268772846,2023-10-26 14:52:05,2,0.1225,0.12580939,61.07,BTC-27SEP24-50000-C,34149.64,sell,,0.1,,,,
118,268795077,2023-10-26 16:50:37,3,0.1225,0.12228665,61.75,BTC-27SEP24-50000-C,33863.86,sell,,0.8,,,,
119,268901798,2023-10-27 08:02:31,2,0.12,0.11984958,60.85,BTC-27SEP24-50000-C,33985.27,sell,,0.1,,,,
120,268905813,2023-10-27 08:20:43,3,0.12,0.12049317,60.79,BTC-27SEP24-50000-C,34023.4,sell,,0.1,,,,
121,268912418,2023-10-27 08:54:35,2,0.1195,0.12024724,60.52,BTC-27SEP24-50000-C,34082.89,sell,,0.1,,,,
122,268912937,2023-10-27 08:57:13,2,0.119,0.12030524,60.34,BTC-27SEP24-50000-C,34102.73,sell,,0.1,,,,
123,268996610,2023-10-27 17:07:29,2,0.118,0.11677625,61.04,BTC-27SEP24-50000-C,33545.07,sell,,0.5,,,,
124,269064716,2023-10-28 15:10:57,2,0.1175,0.11884476,59.73,BTC-27SEP24-50000-C,34113.42,sell,,0.1,,,,
125,269258935,2023-10-31 02:52:43,0,0.124,0.12379963,61.2,BTC-27SEP24-50000-C,34287.9,sell,,0.5,,,,
126,269277337,2023-10-31 08:28:32,2,0.1185,0.12120116,59.69,BTC-27SEP24-50000-C,34285.78,sell,,0.1,,,,
127,269277416,2023-10-31 08:29:06,3,0.1185,0.12129731,59.66,BTC-27SEP24-50000-C,34301.96,sell,,0.1,,,,
128,269283894,2023-10-31 10:45:34,0,0.1195,0.12200195,59.64,BTC-27SEP24-50000-C,34418.87,sell,,0.1,,,,
129,269283897,2023-10-31 10:45:36,1,0.1195,0.12201338,59.64,BTC-27SEP24-50000-C,34419.0,sell,,0.1,,,,
130,269283905,2023-10-31 10:45:39,1,0.1195,0.12202426,59.63,BTC-27SEP24-50000-C,34423.41,sell,,0.1,,,,
131,269283907,2023-10-31 10:45:40,1,0.1195,0.12203658,59.63,BTC-27SEP24-50000-C,34422.44,sell,,0.1,,,,
132,269283968,2023-10-31 10:48:13,2,0.1185,0.12198794,59.34,BTC-27SEP24-50000-C,34432.9,sell,,0.1,,,,
133,269283999,2023-10-31 10:49:28,3,0.1185,0.12197147,59.34,BTC-27SEP24-50000-C,34436.61,sell,,0.1,,,,
134,269284247,2023-10-31 10:56:04,0,0.119,0.12208962,59.39,BTC-27SEP24-50000-C,34454.86,sell,,0.1,,,,
135,269285424,2023-10-31 11:24:21,0,0.122,0.12194172,60.26,BTC-27SEP24-50000-C,34429.9,sell,,0.1,,,,
136,269285427,2023-10-31 11:24:23,1,0.122,0.12195035,60.26,BTC-27SEP24-50000-C,34430.56,sell,,0.1,,,,
137,269285429,2023-10-31 11:24:24,1,0.122,0.121957,60.26,BTC-27SEP24-50000-C,34430.98,sell,,0.1,,,,
138,269285431,2023-10-31 11:24:26,1,0.122,0.1219674,60.26,BTC-27SEP24-50000-C,34434.56,sell,,0.1,,,,
139,269285433,2023-10-31 11:24:28,1,0.122,0.12199687,60.25,BTC-27SEP24-50000-C,34434.11,sell,,0.1,,,,
140,269285435,2023-10-31 11:24:29,1,0.122,0.12199971,60.25,BTC-27SEP24-50000-C,34434.06,sell,,0.1,,,,
141,269285438,2023-10-31 11:24:30,1,0.122,0.12200786,60.25,BTC-27SEP24-50000-C,34434.26,sell,,0.1,,,,
142,269285441,2023-10-31 11:24:31,1,0.122,0.12201017,60.25,BTC-27SEP24-50000-C,34434.41,sell,,0.1,,,,
143,269285443,2023-10-31 11:24:33,1,0.122,0.12201292,60.25,BTC-27SEP24-50000-C,34434.16,sell,,0.1,,,,
144,269285446,2023-10-31 11:24:34,1,0.122,0.12201392,60.25,BTC-27SEP24-50000-C,34434.11,sell,,0.1,,,,
145,269285451,2023-10-31 11:24:36,1,0.122,0.1220184,60.25,BTC-27SEP24-50000-C,34434.02,sell,,0.1,,,,
146,269285531,2023-10-31 11:28:29,0,0.1225,0.12262417,60.36,BTC-27SEP24-50000-C,34439.95,sell,,0.1,,,,
147,269285533,2023-10-31 11:28:31,1,0.1225,0.12263872,60.36,BTC-27SEP24-50000-C,34441.45,sell,,0.1,,,,
148,269285541,2023-10-31 11:28:53,0,0.123,0.12276822,60.47,BTC-27SEP24-50000-C,34451.66,sell,,0.1,,,,
149,269285549,2023-10-31 11:29:23,0,0.1235,0.12282275,60.61,BTC-27SEP24-50000-C,34452.56,sell,,0.1,,,,
150,269285551,2023-10-31 11:29:25,1,0.1235,0.12282138,60.61,BTC-27SEP24-50000-C,34452.56,sell,,0.1,,,,
151,269285571,2023-10-31 11:29:38,1,0.1235,0.12287522,60.61,BTC-27SEP24-50000-C,34455.63,sell,,1.4,,,,
152,269326578,2023-10-31 20:25:49,0,0.125,0.12496905,60.72,BTC-27SEP24-50000-C,34617.89,sell,,0.1,,,,
153,269328608,2023-10-31 20:49:15,0,0.127,0.12617615,61.08,BTC-27SEP24-50000-C,34699.09,buy,,1.9,,,,
154,269328654,2023-10-31 20:50:15,2,0.126,0.12596067,60.85,BTC-27SEP24-50000-C,34678.47,sell,,0.1,,,,
155,269328664,2023-10-31 20:50:31,0,0.1265,0.12598819,60.98,BTC-27SEP24-50000-C,34680.28,sell,,0.1,,,,
156,269328669,2023-10-31 20:50:33,1,0.1265,0.12599839,60.98,BTC-27SEP24-50000-C,34680.28,sell,,0.1,,,,
157,269328688,2023-10-31 20:50:47,0,0.127,0.12599417,61.12,BTC-27SEP24-50000-C,34677.29,sell,,0.1,,,,
158,269328690,2023-10-31 20:50:48,1,0.127,0.12600331,61.12,BTC-27SEP24-50000-C,34678.12,sell,,0.1,,,,
159,269328705,2023-10-31 20:51:08,0,0.1275,0.12599557,61.27,BTC-27SEP24-50000-C,34673.02,buy,,0.8,,,,
160,269328712,2023-10-31 20:51:21,1,0.1275,0.12601732,61.27,BTC-27SEP24-50000-C,34672.77,buy,,0.7,,,,
161,269332764,2023-10-31 22:01:06,2,0.126,0.12317322,61.29,BTC-27SEP24-50000-C,34490.54,buy,,0.1,,,,
162,269332765,2023-10-31 22:01:06,3,0.126,0.12317322,61.29,BTC-27SEP24-50000-C,34490.54,buy,,3.0,,,,
163,269383557,2023-11-01 13:12:41,0,0.127,0.12827158,60.77,BTC-27SEP24-50000-C,34783.65,buy,,0.1,,,,
164,269569196,2023-11-02 07:30:10,0,0.143,0.14007791,63.76,BTC-27SEP24-50000-C,35298.45,buy,,0.1,,,,
165,269569198,2023-11-02 07:30:10,1,0.143,0.14007791,63.76,BTC-27SEP24-50000-C,35298.45,buy,,0.1,,,,
166,269569204,2023-11-02 07:30:11,1,0.143,0.14007976,63.76,BTC-27SEP24-50000-C,35298.61,buy,,0.1,,,,
167,269569207,2023-11-02 07:30:12,1,0.143,0.14007976,63.76,BTC-27SEP24-50000-C,35298.61,buy,,0.1,,,,
168,269569209,2023-11-02 07:30:12,1,0.143,0.1400796,63.76,BTC-27SEP24-50000-C,35298.61,buy,,0.1,,,,
169,269569211,2023-11-02 07:30:12,1,0.143,0.1400796,63.76,BTC-27SEP24-50000-C,35298.61,buy,,0.1,,,,
170,269569215,2023-11-02 07:30:13,1,0.143,0.14008115,63.76,BTC-27SEP24-50000-C,35296.34,buy,,0.1,,,,
171,269764421,2023-11-03 08:49:20,2,0.1345,0.13441349,63.89,BTC-27SEP24-50000-C,34335.12,sell,,0.1,,,,
172,269774662,2023-11-03 09:57:06,2,0.1275,0.13084256,62.33,BTC-27SEP24-50000-C,34238.58,sell,,0.3,,,,
173,269784408,2023-11-03 11:40:50,0,0.132,0.13242598,63.55,BTC-27SEP24-50000-C,34249.65,sell,,0.1,,,,
174,269784471,2023-11-03 11:41:34,1,0.132,0.13238668,63.57,BTC-27SEP24-50000-C,34240.66,sell,,0.1,,,,
175,269784484,2023-11-03 11:41:54,1,0.132,0.13238679,63.57,BTC-27SEP24-50000-C,34237.65,sell,,0.1,,,,
176,269785701,2023-11-03 12:01:54,0,0.1335,0.13320473,63.99,BTC-27SEP24-50000-C,34226.91,sell,,0.1,,,,
177,269786232,2023-11-03 12:13:00,2,0.133,0.13301047,63.98,BTC-27SEP24-50000-C,34167.68,sell,,0.1,,,,
178,269794434,2023-11-03 13:23:43,0,0.1335,0.13361989,63.71,BTC-27SEP24-50000-C,34354.52,sell,,0.1,,,,
179,269814071,2023-11-03 16:02:37,0,0.1367,0.13679186,63.57,BTC-27SEP24-50000-C,34814.35,sell,,14.0,,BTC-STRG-27SEP24-30000_50000,106850,
180,270036551,2023-11-06 11:37:34,0,0.141,0.14064307,63.97,BTC-27SEP24-50000-C,35174.43,sell,,0.1,,,,
181,270036556,2023-11-06 11:37:35,1,0.141,0.14064307,63.97,BTC-27SEP24-50000-C,35174.43,sell,,0.1,,,,
182,270076991,2023-11-06 19:52:10,2,0.1405,0.13925611,64.16,BTC-27SEP24-50000-C,35085.48,buy,,0.1,,,,
183,270077691,2023-11-06 20:04:54,3,0.1405,0.1389067,64.28,BTC-27SEP24-50000-C,35030.56,buy,,99.9,,,,
184,270136466,2023-11-07 13:27:19,2,0.137,0.13786202,63.98,BTC-27SEP24-50000-C,34710.9,sell,,1.1,,,,
185,270295910,2023-11-08 19:31:29,0,0.145,0.14227215,64.24,BTC-27SEP24-50000-C,35609.04,buy,,5.0,,,,
186,270402174,2023-11-09 04:59:24,0,0.1565,0.15564334,65.04,BTC-27SEP24-50000-C,36730.48,buy,,0.1,,,,
187,270408261,2023-11-09 05:48:17,2,0.1555,0.15409152,64.98,BTC-27SEP24-50000-C,36643.62,buy,,1.0,,,,
188,270420397,2023-11-09 07:38:47,0,0.156,0.15534991,65.25,BTC-27SEP24-50000-C,36582.35,buy,,7.0,,,,
189,270428580,2023-11-09 08:23:01,1,0.156,0.15829391,65.2,BTC-27SEP24-50000-C,36583.82,sell,,0.1,,,,
190,270428584,2023-11-09 08:23:01,1,0.156,0.15829391,65.2,BTC-27SEP24-50000-C,36584.92,sell,,0.1,,,,
191,270428586,2023-11-09 08:23:02,1,0.156,0.15829391,65.2,BTC-27SEP24-50000-C,36584.92,sell,,0.1,,,,
192,270459147,2023-11-09 12:23:48,0,0.16,0.15967066,65.47,BTC-27SEP24-50000-C,36946.74,sell,,0.1,,,,
193,270459149,2023-11-09 12:23:48,1,0.16,0.15967787,65.47,BTC-27SEP24-50000-C,36946.74,sell,,0.1,,,,
194,270466551,2023-11-09 12:57:33,0,0.1625,0.16220931,66.14,BTC-27SEP24-50000-C,36905.84,sell,,1.0,,,,
195,270562427,2023-11-09 16:12:06,2,0.155,0.15581606,64.74,BTC-27SEP24-50000-C,36642.2,sell,,2.0,,,,
196,270576579,2023-11-09 16:31:03,2,0.154,0.15310613,64.86,BTC-27SEP24-50000-C,36506.49,sell,,0.3,,,,
197,270716917,2023-11-10 09:07:49,2,0.1505,0.1488727,63.96,BTC-27SEP24-50000-C,36558.93,buy,,7.0,,,,
198,270716918,2023-11-10 09:07:49,3,0.1505,0.1488727,63.96,BTC-27SEP24-50000-C,36558.93,buy,,0.6,,,,
199,270736852,2023-11-10 12:14:02,0,0.154,0.15402772,64.08,BTC-27SEP24-50000-C,36909.67,sell,,2.9,,,,
200,270744251,2023-11-10 13:08:54,0,0.1565,0.15575577,64.05,BTC-27SEP24-50000-C,37226.32,buy,,50.0,,BTC-CCAL-27SEP24_28JUN24-50000,108908,
