trade_seq,trade_id,timestamp,tick_direction,price,mark_price,iv,instrument_name,index_price,direction,amount,combo_id,block_trade_id,combo_trade_id,liquidation
1,198057068,2022-01-06 15:32:18,1,0.35,0.3489918,76.79,BTC-30DEC22-40000-C,42934.93,sell,0.1,,,,
2,198290949,2022-01-07 19:03:57,2,0.33,0.33238875,74.61,BTC-30DEC22-40000-C,41735.6,buy,15.0,,,,
3,198332039,2022-01-08 12:27:02,0,0.333,0.33404973,74.92,BTC-30DEC22-40000-C,41908.0,sell,3.0,,,,
4,198334624,2022-01-08 13:43:14,2,0.33,0.33173328,74.14,BTC-30DEC22-40000-C,41909.24,buy,1.0,,,,
5,198358637,2022-01-08 18:00:15,2,0.321,0.32129501,74.02,BTC-30DEC22-40000-C,40902.3,buy,1.0,,,,
6,198472643,2022-01-10 02:59:41,0,0.34,0.3371176,77.08,BTC-30DEC22-40000-C,41961.78,buy,0.1,,,,
7,198670792,2022-01-11 02:37:25,2,0.329,0.33341727,73.76,BTC-30DEC22-40000-C,42165.83,sell,0.1,,,,
8,198961660,2022-01-13 15:18:53,0,0.339,0.33891709,73.61,BTC-30DEC22-40000-C,43513.48,sell,1.0,,,,
9,199065284,2022-01-14 12:29:30,2,0.316,0.31957436,71.01,BTC-30DEC22-40000-C,42043.86,sell,1.2,,,,
10,199521874,2022-01-20 14:20:33,3,0.316,0.31674973,70.66,BTC-30DEC22-40000-C,42488.51,buy,6.0,,,,
11,199521995,2022-01-20 14:24:25,2,0.3155,0.31652597,70.5,BTC-30DEC22-40000-C,42473.25,buy,4.0,,,,
12,199522322,2022-01-20 14:30:25,2,0.315,0.31603594,70.35,BTC-30DEC22-40000-C,42433.1,buy,1.5,,,,
13,199654839,2022-01-21 02:53:15,2,0.296,0.29680444,72.43,BTC-30DEC22-40000-C,39904.99,buy,1.5,,,,
14,199684113,2022-01-21 03:41:01,2,0.281,0.28498209,72.15,BTC-30DEC22-40000-C,38609.63,buy,0.2,,,,
15,199684657,2022-01-21 03:43:13,0,0.2905,0.28595338,74.56,BTC-30DEC22-40000-C,38719.74,buy,0.2,,,,
16,199718937,2022-01-21 08:20:13,2,0.281,0.28751406,70.5,BTC-30DEC22-40000-C,39063.84,sell,3.0,,,,
17,199718938,2022-01-21 08:20:13,2,0.2805,0.28751406,70.36,BTC-30DEC22-40000-C,39063.84,sell,4.8,,,,
18,199720782,2022-01-21 08:40:48,0,0.2845,0.2868993,71.48,BTC-30DEC22-40000-C,39117.81,sell,6.0,,,,
19,199720799,2022-01-21 08:41:23,2,0.284,0.28685582,71.36,BTC-30DEC22-40000-C,39111.91,sell,4.8,,,,
20,199720848,2022-01-21 08:41:54,3,0.284,0.28691726,71.34,BTC-30DEC22-40000-C,39123.0,sell,6.0,,,,
