trade_seq,trade_id,timestamp,tick_direction,price,mark_price,iv,instrument_name,index_price,direction,contracts,amount,combo_id,block_trade_id,combo_trade_id,liquidation
7757,325301301,2024-11-11 13:59:42,1,0.0205,0.02056385,55.11,BTC-27DEC24-100000-C,81899.85,buy,0.1,0.1,,,,
7758,325306994,2024-11-11 14:30:44,2,0.02,0.02033773,55.24,BTC-27DEC24-100000-C,81665.58,sell,0.2,0.2,,,,
7759,325308616,2024-11-11 14:33:57,0,0.0215,0.0212751,54.99,BTC-27DEC24-100000-C,82436.91,buy,10.0,10.0,,,,
7760,325315737,2024-11-11 14:42:12,1,0.0215,0.02190257,54.69,BTC-27DEC24-100000-C,82578.26,sell,9.6,9.6,,,,
7761,325321289,2024-11-11 14:51:24,2,0.0205,0.02121924,54.17,BTC-27DEC24-100000-C,82379.45,sell,0.8,0.8,,,,
7762,325323783,2024-11-11 14:58:36,0,0.022,0.02165063,55.2,BTC-27DEC24-100000-C,82561.7,sell,2.5,2.5,,,,
7763,325326637,2024-11-11 15:04:35,1,0.022,0.0218873,54.93,BTC-27DEC24-100000-C,82699.0,buy,1.0,1.0,,,,
7764,325327121,2024-11-11 15:05:56,0,0.0225,0.02228302,55.09,BTC-27DEC24-100000-C,82839.3,buy,15.0,15.0,,,,
7765,325327318,2024-11-11 15:06:11,1,0.0225,0.02233639,55.1,BTC-27DEC24-100000-C,82834.9,sell,0.5,0.5,,,,
7766,325328575,2024-11-11 15:08:11,2,0.022,0.02167434,55.34,BTC-27DEC24-100000-C,82513.04,sell,0.3,0.3,,,,
7767,325331508,2024-11-11 15:14:21,0,0.023,0.02281708,55.21,BTC-27DEC24-100000-C,82976.39,buy,0.1,0.1,,,,
7768,325331509,2024-11-11 15:14:21,1,0.023,0.02281708,55.21,BTC-27DEC24-100000-C,82976.39,buy,3.3,3.3,,,,
7769,325331510,2024-11-11 15:14:21,1,0.023,0.02281708,55.21,BTC-27DEC24-100000-C,82976.39,buy,0.3,0.3,,,,
7770,325331511,2024-11-11 15:14:21,1,0.023,0.02281708,55.21,BTC-27DEC24-100000-C,82976.39,buy,0.3,0.3,,,,
7771,325331512,2024-11-11 15:14:21,1,0.023,0.02281708,55.21,BTC-27DEC24-100000-C,82976.39,buy,0.4,0.4,,,,
7772,325331513,2024-11-11 15:14:21,1,0.023,0.02281708,55.21,BTC-27DEC24-100000-C,82976.39,buy,0.2,0.2,,,,
7773,325331514,2024-11-11 15:14:21,1,0.023,0.02281708,55.21,BTC-27DEC24-100000-C,82976.39,buy,0.8,0.8,,,,
7774,325331515,2024-11-11 15:14:21,1,0.023,0.02281708,55.21,BTC-27DEC24-100000-C,82976.39,buy,0.4,0.4,,,,
7775,325331516,2024-11-11 15:14:21,1,0.023,0.02281708,55.21,BTC-27DEC24-100000-C,82976.39,buy,0.3,0.3,,,,
7776,325331517,2024-11-11 15:14:21,1,0.023,0.02281708,55.21,BTC-27DEC24-100000-C,82976.39,buy,0.2,0.2,,,,
7777,325332673,2024-11-11 15:16:41,0,0.0235,0.02332501,55.44,BTC-27DEC24-100000-C,83073.65,buy,0.5,0.5,,,,
7778,325333294,2024-11-11 15:17:58,1,0.0235,0.02356726,55.11,BTC-27DEC24-100000-C,83218.0,buy,6.6,6.6,,,,
7779,325333582,2024-11-11 15:18:09,1,0.0235,0.02365675,54.95,BTC-27DEC24-100000-C,83284.01,buy,12.9,12.9,,,,
7780,325338816,2024-11-11 15:26:18,0,0.0245,0.0245793,55.16,BTC-27DEC24-100000-C,83624.72,buy,1.0,1.0,,,,
7781,325340425,2024-11-11 15:29:23,0,0.025,0.02505678,55.14,BTC-27DEC24-100000-C,83818.24,buy,1.4,1.4,,,,
